,SID,SCAPN,SCSitus_NumNam,Building_age,Cap_rate_pro_forma,Cap_rate_actual,Land_value,Total_value,Assessed_yr,Floor_area_ratio,Num_floors,Price_per_sqft,Land_price_per_AC,Sale_date,Sale_price,Listing_broker_company
10692,S10693,GA Gwinnett 6-173-474,GA Gwinnett 1100 Indian Trail Lilburn Rd,33.0,,8.34,3827975.0,19375495.0,2003.0,0.28738649899999996,3.0,48.15,602759.62,4/6/04,20750000.0,CBRE
10693,S10694,GA Cobb 17-0799-003,GA Cobb 2560 Delk Rd,47.0,,9.0,4662340.0,20191472.0,2002.0,0.357133373,3.0,35.88,558202.73,4/18/03,20653501.0,
10694,S10695,GA Muscogee 111-001-012,GA Muscogee 5850 Thea Ln,35.0,,6.61,,,,0.303948294,2.0,87.78,1162231.03,11/30/16,20525000.0,Cushman & Wakefield
10695,S10696,GA Cobb 17-0872-007,GA Cobb 1557 Terrell Mill Rd,38.0,,6.87,5357400.0,20026775.0,2002.0,0.212418188,2.0,59.3,548682.09,2/25/03,20400000.0,Cushman & Wakefield
10696,S10697,GA Gwinnett R6191-071,GA Gwinnett 1355 Graves Rd,47.0,,6.85,5271200.0,8878000.0,2013.0,0.283900038,3.0,55.31,684050.12,1/13/15,20200000.0,CBRE
10697,S10698,GA Gwinnett S10698,GA Gwinnett 4200 Jimmy Carter Blvd,32.0,,,,,,0.212823421,2.0,50.68,469835.29,5/7/08,19968000.0,Cushman & Wakefield
10698,S10699,GA Cobb 17-0807-001,GA Cobb 2350 Cobb Pky,43.0,,,4715700.0,12892682.0,2004.0,0.29472463600000004,3.0,46.38,595416.64,7/11/05,19850000.0,Newmark Knight Frank
10699,S10700,GA Fulton 13-0060-LL-053-0,GA Fulton 2135 Godby Rd,47.0,,3.7,973100.0,3000000.0,2017.0,0.42243694200000004,2.0,41.4,761831.47,12/14/18,19800000.0,
10700,S10701,GA Cobb 17-0129-003,GA Cobb 2665 Favor Rd,49.0,,9.64,3515290.0,12844000.0,2004.0,0.325513722,2.0,42.85,607574.64,5/24/05,19700000.0,Cushman & Wakefield
10701,S10702,GA Fulton 0017-0032-0000-027,GA Fulton 7275 Roswell Rd,50.0,,,3628200.0,17935200.0,2004.0,0.321700293,2.0,50.25,704098.54,9/29/05,19550000.0,Cushman & Wakefield
