,Unnamed: 0_x,SCAPN,SCSitus_NumNam_x,PropID,Star_rating,City,State,Zip,County,For_sale_price,For_sale_status,Land_area,Num_units,Cap_rate,Vacancy_%,Avg_unit_sqft,Avg_Concession_%,Parking_per_unit,Days_on_mkt,Amenities,Year_built,Year_reno,Last_sale_date,Last_sale_price,Transit_dist_mile,Transit_walk_time_min,Const_material,Num_studio,Studio_rent_sqft,Studio_avg_sqft,Studio_concession_%,Studio_vacancy_%,Num_1_bed,1_bed_rent_sqft,1_bed_avg_sqft,1_bed_concession_%,1_bed_vacancy_%,Num_2_bed,2_bed_rent_sqft,2_bed_avg_sqft,2_bed_concession_%,2_bed_vacancy_%,Num_3_bed,3_bed_rent_sqft,3_bed_avg_sqft,3_bed_concession_%,3_bed_vacancy_%,Num_4_bed,4_bed_rent_sqft,4_bed_avg_sqft,4_bed_concession_%,4_bed_vacancy_%,2010_Avg_age,2019_Avg_age,2019_Pop_25_39,2024_Avg_age,2024_Pop_25_39,Unnamed: 0_y,SID,SCSitus_NumNam_y,Building_age,Cap_rate_pro_forma,Cap_rate_actual,Land_value,Total_value,Assessed_yr,Floor_area_ratio,Num_floors,Price_per_sqft,Land_price_per_AC,Sale_date,Sale_price,Price,Concession_value,NOI
10,20,NC Mecklenburg 171-081-18,NC Mecklenburg 1324-1415 Abbey Pl,P8163,2,Charlotte,NC,282093000,Mecklenburg,,N,5.65,128,0.061366151685393194,,925.0,0.0,1.5630000000000002,,,1966.0,,2015-09-25 00:00:00.000000000,8400000,7.97,,Masonry,,,,,,22.0,,780.0,,,58.0,,899.0,,,48.0,,1023.0,,,,,,,,38.1,38.3,3734.0,39.2,3263.0,11196.0,S11197,NC Mecklenburg 1324 Abbey Pl,53.0,,,1122600.0,3510000.0,2013.0,0.323557376,2.0,105.49,1486725.66,1970-01-01 00:00:00.000042272,8400000.0,8400000.0,0.0,
11,25,NC Durham 154032,NC Durham5011 Alston Ave,P8168,3,Durham,NC,27713,Durham,,N,11.507,120,0.0632,0.05,781.0,0.006999999999999999,0.275,,"Clubhouse, Fitness Center, Laundry Facilities, Picnic Area, Playground, Property Manager on Site, Tennis Court, Car Wash Area, Dry Cleaning Service, Grill, Package Service, Planned Social Activities, Recycling",1986.0,,2018-03-12 00:00:00.000000000,11500000,8.54,,Wood Frame,,,,,,48.0,1.54,671.0,0.006,0.042,64.0,1.25,834.0,0.006,0.047,8.0,1.31,1012.0,0.01,0.125,,,,,,37.0,42.9,65.0,44.4,95.0,11144.0,S11145,NC Durham 5011 Alston Ave,33.0,,0.0632,1620000.0,5403578.0,2017.0,0.348830111,3.0,65.77,999391.67,1970-01-01 00:00:00.000043171,11500000.0,11500000.0,80499.99999999999,662635.3684210528
12,25,NC Durham 154032,NC Durham5011 Alston Ave,P8168,3,Durham,NC,27713,Durham,,N,11.507,120,0.061366151685393194,0.05,781.0,0.006999999999999999,0.275,,"Clubhouse, Fitness Center, Laundry Facilities, Picnic Area, Playground, Property Manager on Site, Tennis Court, Car Wash Area, Dry Cleaning Service, Grill, Package Service, Planned Social Activities, Recycling",1986.0,,2018-03-12 00:00:00.000000000,11500000,8.54,,Wood Frame,,,,,,48.0,1.54,671.0,0.006,0.042,64.0,1.25,834.0,0.006,0.047,8.0,1.31,1012.0,0.01,0.125,,,,,,37.0,42.9,65.0,44.4,95.0,11486.0,S11487,NC Durham 5011 Alston Ave,33.0,,,1620000.0,5403578.0,2017.0,0.348830111,3.0,,,1970-01-01 00:00:00.000043171,,11500000,80499.99999999999,643407.9514340621
13,27,NC Lincoln 19186,NC Lincoln101 Arbor Run Dr,P8170,4,Lincolnton,NC,28092,Lincoln,,N,10.65,111,0.0599,0.0541,953.0,0.006999999999999999,0.0,,"Clubhouse, Fitness Center, Laundry Facilities, Playground, Basketball Court, Grill",2002.0,,2018-07-09 00:00:00.000000000,8750000,31.04,,Wood Frame,,,,,,20.0,1.03,725.0,0.006,0.05,79.0,0.88,975.0,0.006,0.051,12.0,0.85,1185.0,0.009000000000000001,0.083,,,,,,39.7,40.9,537.0,41.7,570.0,11189.0,S11190,NC Lincoln 101 Arbor Run Dr,17.0,,0.0599,426000.0,6009178.0,,0.233646753,2.0,80.73,821596.24,1970-01-01 00:00:00.000043290,8750000.0,8750000.0,61249.99999999999,531003.7794692885
14,29,NC Harnett 010535 0100 30,NC Harnett Archie Rd,P8172,2,Spring Lake,NC,28390,Harnett,,N,55.0,120,0.061366151685393194,0.0667,,0.0,0.41700000000000004,,,,,2016-11-28 00:00:00.000000000,2350000,24.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.3,35.4,325.0,37.1,313.0,11561.0,S11562,NC Harnett Archie Rd,,,,122800.0,509800.0,2016.0,4.17397e-07,,,,1970-01-01 00:00:00.000042702,,2350000,0.0,146442.4011933009
15,30,NC Lee 9650-68-3174-00,NC Lee5200 Arrowwood Cir,P8173,2,Sanford,NC,273328182,Lee,,N,8.83,105,0.061366151685393194,,725.0,0.002,,,Laundry Facilities,1981.0,,2016-12-22 00:00:00.000000000,2700000,,,,,,,,,57.0,0.86,693.0,0.003,0.0,48.0,0.91,762.0,0.003,0.0,,,,,,,,,,,37.8,38.6,261.0,39.3,253.0,,,,,,,634866.6666666666,,,,,,,,,2700000,5400.0,
16,31,NC Davidson 16-337-D-00A-0102-0-0-0,NC Davidson205 Arthur Dr,P8174,3,Thomasville,NC,273605182,Davidson,,N,5.85,114,0.0727,0.0351,900.0,0.005,,,,1993.0,,2017-07-28 00:00:00.000000000,4950000,25.86,,,,,,,,36.0,0.8,708.0,0.005,0.027999999999999997,65.0,0.73,986.0,0.005,0.031,13.0,0.79,1000.0,0.005,0.077,,,,,,41.0,41.9,496.0,42.5,496.0,11307.0,S11308,NC Davidson 205 Arthur Dr,26.0,,0.0727,451648.3333333333,,,0.400274698,2.0,48.53,846153.85,1970-01-01 00:00:00.000042944,4950000.0,4950000.0,24750.0,340791.26455245796
17,32,NC Cumberland 0417-03-2213,NC Cumberland600 Ashbrook Ct,P8175,3,Fayetteville,NC,283140817,Cumberland,,N,7.9681,120,0.0675,0.1,1018.0,0.01,,,"Fitness Center, Laundry Facilities, Playground, Property Manager on Site, Maintenance on site, Sundeck",1969.0,,2018-07-30 00:00:00.000000000,5705000,7.88,,Masonry,,,,,,,,,,,96.0,0.74,997.0,0.01,0.10400000000000001,24.0,0.77,1103.0,0.01,0.083,,,,,,34.4,35.7,2069.0,36.4,2034.0,11283.0,S11284,NC Cumberland 600 Ashbrook Ct,50.0,,0.0675,600000.0,3985600.0,2017.0,0.352023971,2.0,46.69,715979.97,1970-01-01 00:00:00.000043311,5705000.0,5705000.0,57050.0,387153.75
18,32,NC Cumberland 0417-03-2213,NC Cumberland600 Ashbrook Ct,P8175,3,Fayetteville,NC,283140817,Cumberland,,N,7.9681,120,0.061366151685393194,0.1,1018.0,0.01,,,"Fitness Center, Laundry Facilities, Playground, Property Manager on Site, Maintenance on site, Sundeck",1969.0,,2018-07-30 00:00:00.000000000,5705000,7.88,,Masonry,,,,,,,,,,,96.0,0.74,997.0,0.01,0.10400000000000001,24.0,0.77,1103.0,0.01,0.083,,,,,,34.4,35.7,2069.0,36.4,2034.0,11367.0,S11368,NC Cumberland 600 Ashbrook Ct,50.0,,,600000.0,3917000.0,2015.0,0.352023971,2.0,28.65,439251.52,1970-01-01 00:00:00.000042566,3500000.0,3500000.0,35000.0,200121.83910736558
19,32,NC Cumberland 0417-03-2213,NC Cumberland600 Ashbrook Ct,P8175,3,Fayetteville,NC,283140817,Cumberland,,N,7.9681,120,0.075,0.1,1018.0,0.01,,,"Fitness Center, Laundry Facilities, Playground, Property Manager on Site, Maintenance on site, Sundeck",1969.0,,2018-07-30 00:00:00.000000000,5705000,7.88,,Masonry,,,,,,,,,,,96.0,0.74,997.0,0.01,0.10400000000000001,24.0,0.77,1103.0,0.01,0.083,,,,,,34.4,35.7,2069.0,36.4,2034.0,11381.0,S11382,NC Cumberland 600 Ashbrook Ct,50.0,,0.075,600000.0,3917000.0,2016.0,0.352023971,2.0,27.01,414151.43,1970-01-01 00:00:00.000042724,3300000.0,3300000.0,33000.0,227750.0
21,38,NC Forsyth 6832-77-7418,NC Forsyth338 Barnes Rd,P8181,2,Winston-Salem,NC,27107,Forsyth,,N,30.61,100,0.061366151685393194,0.05,,0.0,1.2,,,1965.0,,2018-05-31 00:00:00.000000000,3571000,27.09,,Wood Frame,,,,,,100.0,,,,0.05,,,,,,,,,,,,,,,,33.5,35.3,462.0,36.5,466.0,,,,,,,931369.7352941176,,,,,,,,,3571000,0.0,170509.42233399555
22,39,NC Mecklenburg 099-211-05,NC Mecklenburg7123 Barrington Dr,P8182,3,Charlotte,NC,28215,Mecklenburg,,N,10.0,101,0.061366151685393194,0.0495,941.0,0.005,,,"24 Hour Access, Business Center, Clubhouse, Courtyard, Laundry Facilities, Playground, Gameroom, Grill, Recycling, Storage Space",1973.0,,2019-03-14 00:00:00.000000000,6482000,16.3,,Wood Frame,,,,,,,,,,,39.0,0.87,850.0,0.008,0.077,36.0,0.93,925.0,0.004,0.027999999999999997,26.0,0.89,1100.0,0.004,0.039,32.9,34.6,3148.0,35.8,3170.0,,,,,,,2072367.2005420055,,,,,,,,,6482000,32410.0,286787.0302204607
23,41,NC Cumberland 0408-71-5999,NC Cumberland5441 Basking Ridge Dr,P8184,4,Fayetteville,NC,283141568,Cumberland,,N,10.46,108,0.061366151685393194,0.11109999999999999,850.0,0.027000000000000003,1.6480000000000001,,"Fitness Center, Playground, Property Manager on Site, Basketball Court, Package Service, Maintenance on site, Sundeck",2001.0,,2016-09-20 00:00:00.000000000,4550000,9.15,,Wood Frame,,,,,,54.0,0.81,700.0,0.03,0.111,54.0,0.7,1000.0,0.025,0.111,,,,,,,,,,,34.2,35.2,1922.0,36.1,1722.0,,,,,,,1016374.7916666666,,,,,,,,,4550000,122850.00000000001,252428.63344410283
