,SCAPN,SCSitus_NumNam_x,PropID,Star_rating,City,State,Zip,County,For_sale_price,For_sale_status,Land_area,Num_units,Cap_rate,Vacancy_%,Avg_unit_sqft,Avg_Concession_%,Parking_per_unit,Days_on_mkt,Amenities,Year_built,Year_reno,Last_sale_date,Last_sale_price,Transit_dist_mile,Transit_walk_time_min,Const_material,Num_studio,Studio_rent_sqft,Studio_avg_sqft,Studio_concession_%,Studio_vacancy_%,Num_1_bed,1_bed_rent_sqft,1_bed_avg_sqft,1_bed_concession_%,1_bed_vacancy_%,Num_2_bed,2_bed_rent_sqft,2_bed_avg_sqft,2_bed_concession_%,2_bed_vacancy_%,Num_3_bed,3_bed_rent_sqft,3_bed_avg_sqft,3_bed_concession_%,3_bed_vacancy_%,Num_4_bed,4_bed_rent_sqft,4_bed_avg_sqft,4_bed_concession_%,4_bed_vacancy_%,2010_Avg_age,2019_Avg_age,2019_Pop_25_39,2024_Avg_age,2024_Pop_25_39,Unnamed: 0.1,SID,SCSitus_NumNam_y,Building_age,Cap_rate_pro_forma,Cap_rate_actual,Land_value,Total_value,Assessed_yr,Floor_area_ratio,Num_floors,Price_per_sqft,Land_price_per_AC,Sale_date,Sale_price,Price,Concession_value,NOI
0,FL Pinellas 19-31-17-74466-052-0040,FL Pinellas540 2nd Ave,P2834,2,Saint Petersburg,FL,33701    ,Pinellas,,,0.48,146,0.07045000000000001,0.0623,610.0,0.006999999999999999,0.342,,Elevator,1981.0,,2012-11-19,10150000,13.82,,Masonry,,,,,,146.0,2.0,610.0,0.006999999999999999,0.062,,,,,,,,,,,,,,,,44.1,45.6,4211.0,46.0,3821.0,,,,,,,2169594.444055944,,,,,,,,,10150000,71049.99999999999,604910.9991641877
1,FL Pinellas 19-31-17-74466-011-0090,FL Pinellas235 3rd Ave,P2837,4,Saint Petersburg,FL,337014242,Pinellas,,,1.8874,309,0.07045000000000001,0.0359,820.0,0.005,0.45299999999999996,,"Clubhouse, Fitness Center, Laundry Facilities, Picnic Area, Grill",2014.0,,2017-06-20,,,,Masonry,1.0,3.0,493.0,0.006,0.0,218.0,2.0,713.0,0.005,0.037000000000000005,90.0,2.0,1082.0,0.005,0.033,,,,,,,,,,,45.5,47.1,4297.0,47.6,3698.0,4206.0,S4207,FL Pinellas 235 3rd Ave,5.0,,,2169594.444055944,46000000.0,2015.0,3.393541325,8.0,277.96,41088269.58,2016-12-14,77550000.0,77550000.0,387750.0,5536631.63459834
2,FL Pinellas 19-31-17-74466-011-0090,FL Pinellas235 3rd Ave,P2837,4,Saint Petersburg,FL,337014242,Pinellas,,,1.8874,309,0.07045000000000001,0.0359,820.0,0.005,0.45299999999999996,,"Clubhouse, Fitness Center, Laundry Facilities, Picnic Area, Grill",2014.0,,2017-06-20,,,,Masonry,1.0,3.0,493.0,0.006,0.0,218.0,2.0,713.0,0.005,0.037000000000000005,90.0,2.0,1082.0,0.005,0.033,,,,,,,,,,,45.5,47.1,4297.0,47.6,3698.0,4623.0,S4624,FL Pinellas 235 3rd Ave,5.0,,,4006352.0,66800000.0,2017.0,3.393541325,8.0,,,2017-06-20,,66800000.0,334000.0,4612947.621201121
3,FL Pinellas 19-31-17-78428-002-0010,FL Pinellas430 3rd Ave,P2838,4,Saint Petersburg,FL,337013294,Pinellas,,Active,4.3464,326,0.045,0.0558,883.0,0.006999999999999999,0.8440000000000001,102.0,"Business Center, Courtyard, Fitness Center, Grill, Community-Wide WiFi, Lounge, Multi Use Room",2014.0,,2015-09-16,84500000,13.98,,Masonry,36.0,2.0,582.0,0.009000000000000001,0.083,159.0,2.0,727.0,0.006,0.05,124.0,2.0,1145.0,0.006,0.057,7.0,2.0,1360.0,0.006,0.0,,,,,,43.7,45.4,4286.0,45.8,3906.0,4676.0,S4677,FL Pinellas 430 3rd Ave,5.0,,0.045,4987800.0,5062770.0,2014.0,2.920778116,4.0,152.81,19441376.77,2015-09-16,84500000.0,84500000.0,591499.9999999999,3817693.8148697307
4,FL Pinellas 19-31-17-78428-002-0010,FL Pinellas430 3rd Ave,P2838,4,Saint Petersburg,FL,337013294,Pinellas,,Active,4.3464,326,0.07045000000000001,0.0558,883.0,0.006999999999999999,0.8440000000000001,102.0,"Business Center, Courtyard, Fitness Center, Grill, Community-Wide WiFi, Lounge, Multi Use Room",2014.0,,2015-09-16,84500000,13.98,,Masonry,36.0,2.0,582.0,0.009000000000000001,0.083,159.0,2.0,727.0,0.006,0.05,124.0,2.0,1145.0,0.006,0.057,7.0,2.0,1360.0,0.006,0.0,,,,,,43.7,45.4,4286.0,45.8,3906.0,5035.0,S5036,FL Pinellas 430 3rd Ave,5.0,,,4987800.0,5062770.0,2014.0,2.920778116,4.0,56.01,7125921.87,2015-09-16,10437600.0,10437600.0,73063.2,412079.7632281297
5,FL Pinellas 19-31-17-74466-061-0030,FL Pinellas518 3rd Ave,P2839,3,Saint Petersburg,FL,33701    ,Pinellas,,,0.2748,188,0.07045000000000001,0.0277,548.0,0.005,0.266,,"Fitness Center, Laundry Facilities, Gated, Gameroom, Media Center/Movie Theatre, Pet Play Area",1971.0,2009.0,2009-06-30,6800000,13.74,,Masonry,83.0,2.0,396.0,0.005,0.036000000000000004,105.0,1.0,668.0,0.004,0.019,,,,,,,,,,,,,,,,43.1,44.9,4501.0,45.4,4138.0,1223.0,S1224,FL Pinellas 518 3rd Ave,48.0,,,616000.0,4400000.0,2008.0,10.91186299,11.0,52.06,24745269.29,2009-06-30,6800000.0,6800000.0,34000.0,450538.0026740719
6,FL Pinellas 18-30-17-11342-002-0010,FL Pinellas10501 3rd St,P2840,4,Saint Petersburg,FL,337163941,Pinellas,,,17.0,276,0.07045000000000001,0.0692,946.0,0.016,1.359,,"Business Center, Clubhouse, Courtyard, Fitness Center, Laundry Facilities, Playground, Property Manager on Site, Tennis Court, Car Wash Area, Package Service, Storage Space, Lounge, Maintenance on site",1974.0,2007.0,2015-01-15,23250000,,,Masonry,,,,,,68.0,1.0,689.0,0.040999999999999995,0.07400000000000001,144.0,1.0,952.0,0.0,0.069,64.0,1.0,1203.0,0.027999999999999997,0.063,,,,,,36.0,36.8,5737.0,37.5,4590.0,,,,,,,2169594.444055944,,,,,,,,,23250000,372000.0,1623680.674061301
7,FL Pinellas 19-31-17-93451-001-0010,FL Pinellas330 3rd St,P2842,4,Saint Petersburg,FL,337014251,Pinellas,,,2.8921,358,0.05,0.058899999999999994,989.0,0.006999999999999999,0.9079999999999999,,"Business Center, Clubhouse, Fitness Center, Elevator",2016.0,,2018-01-11,126300000,13.23,,Steel,16.0,3.0,607.0,0.006999999999999999,0.063,161.0,3.0,768.0,0.006999999999999999,0.055999999999999994,149.0,2.0,1172.0,0.006999999999999999,0.06,32.0,2.0,1443.0,0.006999999999999999,0.063,,,,,,45.2,46.6,3724.0,46.9,3311.0,4658.0,S4659,FL Pinellas 330 3rd St,3.0,0.05,,4818621.0,68054500.0,2017.0,2.825764612,18.0,354.79,43670689.12,2018-01-11,126300000.0,126300000.0,884099.9999999999,6501194.29391138
8,FL Pinellas 30-30-17-00000-330-0100,FL Pinellas7230 4th St,P2844,2,Saint Petersburg,FL,337025803,Pinellas,,,16.43,236,0.0722,0.04190000000000001,,0.0,0.042,,,1985.0,,2014-09-29,7675676,8.06,,Wood Frame,,,,,,,,,,,,,,,,,,,,,,,,,,41.9,43.0,3234.0,43.3,3171.0,3067.0,S3068,FL Pinellas 7230 4th St,34.0,,0.0722,2501500.0,3400000.0,2004.0,0.008718859,1.0,1116.67,424102.25,2005-06-30,6968000.0,6968000.0,0.0,336584.17701701284
9,FL Pinellas 19-30-17-25434-010-0010,FL Pinellas8624 4th St,P2845,2,Saint Petersburg,FL,337023104,Pinellas,,,9.2519,112,0.07045000000000001,0.042,,0.0,0.08900000000000001,,,1955.0,,2018-01-16,3400000,6.98,,Masonry,,,,,,,,,,,,,,,,,,,,,,,,,,41.1,42.3,3016.0,42.6,2859.0,269.0,S270,FL Pinellas 8624 4th St,64.0,,,1971474.0,2567100.0,2017.0,0.00024813200000000003,1.0,34000.0,367492.08,2018-01-16,3400000.0,3400000.0,0.0,105051.83371607518
10,FL Pinellas 19-30-17-25434-010-0010,FL Pinellas8624 4th St,P2845,2,Saint Petersburg,FL,337023104,Pinellas,,,9.2519,112,0.07045000000000001,0.042,,0.0,0.08900000000000001,,,1955.0,,2018-01-16,3400000,6.98,,Masonry,,,,,,,,,,,,,,,,,,,,,,,,,,41.1,42.3,3016.0,42.6,2859.0,381.0,S382,FL Pinellas 8624 4th St,64.0,,,1038000.0,1070700.0,1998.0,0.00024813200000000003,1.0,15400.0,166452.3,1999-08-23,1540000.0,1540000.0,0.0,36916.388308977046
11,FL Pinellas 18-30-17-56445-001-0010,FL Pinellas10600 4th St,P2846,4,Saint Petersburg,FL,337163282,Pinellas,,,17.6711,212,0.07045000000000001,0.0665,864.0,0.0,0.0,,"Business Center, Controlled Access, Clubhouse, Fitness Center, Laundry Facilities, Picnic Area, Playground, Property Manager on Site, Spa, Tennis Court, Gated, Basketball Court, Breakfast/Coffee Concierge, Cabana, Package Service, Volleyball Court, Wi-Fi, Storage Space, Lounge, Maintenance on site, Sundeck",1986.0,2007.0,2016-01-20,23500000,5.52,,Wood Frame,,,,,,77.0,2.0,650.0,0.0,0.065,119.0,1.0,966.0,0.0,0.067,16.0,2.0,1134.0,0.0,0.063,,,,,,35.9,36.8,5704.0,37.5,4563.0,2353.0,S2354,FL Pinellas 10600 4th St,33.0,,,2169594.444055944,15450000.0,2015.0,0.536505866,3.0,56.9,1329854.96,2016-01-20,23500000.0,23500000.0,0.0,1609777.259149715
12,FL Pinellas 18-30-17-87363-001-0010,FL Pinellas11400 4th St,P2847,3,Saint Petersburg,FL,33716    ,Pinellas,,,16.6333,200,0.061,0.013500000000000002,726.0,0.004,2.0,,"24 Hour Access, Clubhouse, Courtyard, Fitness Center, Laundry Facilities, Picnic Area, Playground, Pool, Tennis Court, Breakfast/Coffee Concierge, Car Wash Area, Grill, Laundry Service, Lake Access, Lounge, Maintenance on site, Online Services",1980.0,,2012-09-24,12750000,7.0,,Masonry,,,,,,112.0,2.0,630.0,0.004,0.018000000000000002,88.0,2.0,848.0,0.004,0.011000000000000001,,,,,,,,,,,35.8,36.7,4839.0,37.4,3757.0,2475.0,S2476,FL Pinellas 11400 4th St,39.0,0.061,,1302812.0,6700000.0,2011.0,0.200500727,2.0,87.77,766534.6,2012-09-24,12750000.0,12750000.0,51000.0,710987.8033451596
13,FL Pinellas 18-30-17-05480-001-0010,FL Pinellas11601 4Th St,P2848,3,Saint Petersburg,FL,33716,Pinellas,,,52.55,631,0.054400000000000004,0.0458,751.0,0.0,1.64,,"Controlled Access, Fitness Center, Tennis Court, Gated, Basketball Court, Racquetball Court, Volleyball Court",1984.0,,2014-07-21,53000000,7.04,,Masonry,,,,,,448.0,2.0,650.0,0.0,0.047,183.0,1.0,997.0,0.0,0.044000000000000004,,,,,,,,,,,35.8,36.7,4528.0,37.3,3518.0,6262.0,S6263,FL Pinellas 11601 4th St,35.0,,0.054400000000000004,3173387.0,24250000.0,2013.0,0.204757112,2.0,113.08,1008563.27,2014-07-21,53000000.0,53000000.0,0.0,2840670.4539928734
14,FL Pinellas 18-30-17-05480-001-0010,FL Pinellas11601 4Th St,P2848,3,Saint Petersburg,FL,33716,Pinellas,,,52.55,631,0.107,0.0458,751.0,0.0,1.64,,"Controlled Access, Fitness Center, Tennis Court, Gated, Basketball Court, Racquetball Court, Volleyball Court",1984.0,,2014-07-21,53000000,7.04,,Masonry,,,,,,448.0,2.0,650.0,0.0,0.047,183.0,1.0,997.0,0.0,0.044000000000000004,,,,,,,,,,,35.8,36.7,4528.0,37.3,3518.0,6386.0,S6387,FL Pinellas 11601 4th St,35.0,0.107,,7463500.0,32450000.0,2008.0,0.204757112,2.0,51.63,460513.8,2010-01-22,24200000.0,24200000.0,0.0,1876761.161182142
15,FL Pinellas 07-30-17-90790-001-0010,FL Pinellas12000 4th St,P2849,3,Saint Petersburg,FL,33716,Pinellas,,,57.0,464,0.068,0.0175,958.0,0.0,1.5090000000000001,,"Business Center, Controlled Access, Clubhouse, Fitness Center, Property Manager on Site, Spa, Tennis Court, Gated, Breakfast/Coffee Concierge, Car Wash Area, Furnished Units Available, Gameroom, Grill, Pet Play Area, Volleyball Court, Wi-Fi",1988.0,,2003-06-30,30700000,6.29,,Masonry,,,,,,209.0,1.0,858.0,0.0,0.019,255.0,1.0,1039.0,0.0,0.02,,,,,,,,,,,35.6,36.6,5340.0,37.4,4110.0,6344.0,S6345,FL Pinellas 12000 4th St,31.0,,0.068,3851200.0,22850000.0,2002.0,0.181826237,3.0,68.0,538596.49,2003-06-30,30700000.0,30700000.0,0.0,1858237.5572519084
16,FL Pinellas 19-31-17-78428-002-0010,FL Pinellas201 4th St,P2850,4,Saint Petersburg,FL,337014286,Pinellas,,,,366,0.045,0.1391,953.0,0.0,,,"Property Manager on Site, Gameroom, Grill, Package Service, Pet Play Area, Lounge, Maintenance on site, Pet Care",2018.0,,,,,,,,,,,,225.0,3.0,731.0,0.0,0.138,141.0,2.0,1308.0,0.0,0.142,,,,,,,,,,,44.4,45.9,4053.0,46.3,3652.0,4676.0,S4677,FL Pinellas 430 3rd Ave,5.0,,0.045,4987800.0,5062770.0,2014.0,2.920778116,4.0,152.81,19441376.77,2015-09-16,84500000.0,84500000.0,0.0,4156172.6100592404
17,FL Pinellas 19-31-17-78428-002-0010,FL Pinellas201 4th St,P2850,4,Saint Petersburg,FL,337014286,Pinellas,,,,366,0.07045000000000001,0.1391,953.0,0.0,,,"Property Manager on Site, Gameroom, Grill, Package Service, Pet Play Area, Lounge, Maintenance on site, Pet Care",2018.0,,,,,,,,,,,,225.0,3.0,731.0,0.0,0.138,141.0,2.0,1308.0,0.0,0.142,,,,,,,,,,,44.4,45.9,4053.0,46.3,3652.0,5035.0,S5036,FL Pinellas 430 3rd Ave,5.0,,,4987800.0,5062770.0,2014.0,2.920778116,4.0,56.01,7125921.87,2015-09-16,10437600.0,10437600.0,0.0,445973.29538854695
18,FL Pinellas 19-31-17-38289-001-0010,FL Pinellas151 7th St,P2851,4,Saint Petersburg,FL,337012517,Pinellas,,,2.0363,348,0.047,0.069,904.0,0.083,0.0,,"24 Hour Access, Fitness Center, Spa, Grill, Roof Terrace, Car Charging Station, Elevator",2017.0,,2019-01-08,107625000,,,Masonry,32.0,3.0,539.0,0.083,0.063,176.0,2.0,754.0,0.083,0.068,140.0,2.0,1175.0,0.083,0.071,,,,,,,,,,,43.0,44.4,4974.0,44.9,4491.0,4663.0,S4664,FL Pinellas 151 7th St,2.0,,0.047,4488004.0,16664300.0,2017.0,6.358992571,8.0,190.81,52853214.16,2019-01-08,107625000.0,107625000.0,8932875.0,5657662.660580021
19,FL Pinellas 24-31-16-78383-001-0010,FL Pinellas300 10th St,P2853,4,Saint Petersburg,FL,337051719,Pinellas,,,3.8851,481,0.047,0.1894,459.0,0.042,0.624,,"Business Center, Controlled Access, Clubhouse, Fitness Center, Property Manager on Site, Doorman, Furnished Units Available, Guest Apartment, Package Service, Elevator, Lounge, Maintenance on site, Sundeck",1971.0,2011.0,2017-12-21,46250000,12.7,,Masonry,283.0,2.0,425.0,0.042,0.191,182.0,2.0,487.0,0.042,0.187,16.0,2.0,735.0,0.055999999999999994,0.188,,,,,,,,,,,41.6,43.3,5076.0,43.9,4756.0,6280.0,S6281,FL Pinellas 300 10th St,48.0,,0.047,2002709.0,25340000.0,2017.0,1.342756184,16.0,203.53,11904455.48,2017-12-21,46250000.0,46250000.0,1942500.0000000002,2678164.541080681
20,FL Hillsborough A-19-29-19-4X1-000009-00011.0,FL Hillsborough112 12th St,P2855,5,Tampa,FL,33602,Hillsborough,,,1.55,320,0.07045000000000001,0.0672,794.0,0.006999999999999999,1.8030000000000002,,"Business Center, Controlled Access, Clubhouse, Fitness Center, Breakfast/Coffee Concierge, Grill, Lounge",2015.0,,2018-11-15,90000000,9.42,,Reinforced Concrete,2.0,3.0,586.0,0.01,0.5,232.0,2.0,673.0,0.006999999999999999,0.065,68.0,2.0,1054.0,0.006999999999999999,0.059000000000000004,18.0,2.0,1397.0,0.006999999999999999,0.055999999999999994,,,,,,35.8,38.0,5830.0,39.2,4862.0,4670.0,S4671,FL Hillsborough 112 12th St,4.0,,,4800000.0,68794200.0,2017.0,7.817337599,23.0,170.52,58064516.13,2018-11-15,90000000.0,90000000.0,629999.9999999999,6482336.513722128
21,FL Hillsborough A-19-29-19-4X1-000009-00011.0,FL Hillsborough112 12th St,P2855,5,Tampa,FL,33602,Hillsborough,,,1.55,320,0.0536,0.0672,794.0,0.006999999999999999,1.8030000000000002,,"Business Center, Controlled Access, Clubhouse, Fitness Center, Breakfast/Coffee Concierge, Grill, Lounge",2015.0,,2018-11-15,90000000,9.42,,Reinforced Concrete,2.0,3.0,586.0,0.01,0.5,232.0,2.0,673.0,0.006999999999999999,0.065,68.0,2.0,1054.0,0.006999999999999999,0.059000000000000004,18.0,2.0,1397.0,0.006999999999999999,0.055999999999999994,,,,,,35.8,38.0,5830.0,39.2,4862.0,4673.0,S4674,FL Hillsborough 112 12th St,4.0,,0.0536,4800000.0,42307597.0,2016.0,7.817337599,23.0,166.73,56774193.55,2016-11-17,88000000.0,88000000.0,615999.9999999999,4816185.248713551
22,FL Pinellas 28-30-16-69858-100-0304,FL Pinellas8400 49th St,P2857,3,Pinellas Park,FL,33781,Pinellas,,,17.9263,285,0.045,,735.0,0.023,1.754,,"Business Center, Picnic Area, Playground",1984.0,,2019-02-08,31000000,4.93,,Masonry,,,,,,110.0,1.0,706.0,0.040999999999999995,0.0,175.0,2.0,753.0,0.015,0.0,,,,,,,,,,,40.3,41.5,3494.0,42.0,3470.0,3848.0,S3849,FL Pinellas 8400 49th St,35.0,,0.045,2163572.0,11700000.0,2017.0,0.290347036,2.0,136.73,1729302.76,2019-02-08,31000000.0,31000000.0,713000.0,
23,FL Pinellas 21-30-16-69822-400-3400,FL Pinellas9301 49th St,P2858,2,Pinellas Park,FL,337825234,Pinellas,,,20.65,166,0.07045000000000001,0.0464,,0.0,0.06,,,1963.0,,2009-12-22,4910000,5.04,,Masonry,,,,,,,,,,,,,,,,,,,,,,,,,,44.7,44.9,2586.0,45.1,2589.0,1662.0,S1663,FL Pinellas 9301 49th St,56.0,,,2602000.0,3240000.0,2004.0,0.002280123,1.0,4046.81,401937.05,2005-08-30,8300000.0,8300000.0,0.0,420956.4807046981
24,FL Pinellas 21-30-16-69822-400-3400,FL Pinellas9301 49th St,P2858,2,Pinellas Park,FL,337825234,Pinellas,,,20.65,166,0.07045000000000001,0.0464,,0.0,0.06,,,1963.0,,2009-12-22,4910000,5.04,,Masonry,,,,,,,,,,,,,,,,,,,,,,,,,,44.7,44.9,2586.0,45.1,2589.0,1798.0,S1799,FL Pinellas 9301 49th St,56.0,,,2602000.0,3100000.0,2003.0,0.002280123,1.0,1657.73,164648.91,2003-04-29,3400000.0,3400000.0,0.0,58954.59312080538
25,FL Pinellas 21-30-16-69822-400-3400,FL Pinellas9301 49th St,P2858,2,Pinellas Park,FL,337825234,Pinellas,,,20.65,166,0.07045000000000001,0.0464,,0.0,0.06,,,1963.0,,2009-12-22,4910000,5.04,,Masonry,,,,,,,,,,,,,,,,,,,,,,,,,,44.7,44.9,2586.0,45.1,2589.0,1801.0,S1802,FL Pinellas 9301 49th St,56.0,,,2337300.0,2362100.0,1996.0,0.002280123,1.0,1560.21,154963.68,1998-01-08,3200000.0,3200000.0,0.0,63734.49559563759
26,FL Pinellas 33-29-16-70380-400-0500,FL Pinellas15666 49th St,P2859,2,Clearwater,FL,337623535,Pinellas,,,19.21,156,0.07045000000000001,0.046799999999999994,,0.0,,,,1975.0,,2011-07-01,6136300,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.7,37.4,3716.0,38.9,3283.0,,,,,,,2169594.444055944,,,,,,,,,6136300,0.0,293174.996240305
27,FL Pinellas 05-30-16-00840-000-0010,FL Pinellas14330 58th St,P2860,4,Clearwater,FL,337602801,Pinellas,,,19.0,288,0.05,0.0802,1103.0,0.015,1.042,,"Business Center, Controlled Access, Clubhouse, Fitness Center, Laundry Facilities, Playground, Breakfast/Coffee Concierge, Car Wash Area, Lounge",2005.0,,2016-05-03,36000000,2.98,,Masonry,,,,,,108.0,1.0,798.0,0.0,0.083,138.0,1.0,1203.0,0.0,0.08,42.0,1.0,1554.0,0.083,0.071,,,,,,33.0,36.6,3673.0,38.3,3235.0,3810.0,S3811,FL Pinellas 14330 58th St,14.0,,0.05,2169594.444055944,19423300.0,2015.0,0.38302160399999996,3.0,113.56,1894736.84,2016-05-03,36000000.0,36000000.0,540000.0,1868362.9895599075
28,FL Pinellas 05-30-16-00840-000-0010,FL Pinellas14330 58th St,P2860,4,Clearwater,FL,337602801,Pinellas,,,19.0,288,0.0538,0.0802,1103.0,0.015,1.042,,"Business Center, Controlled Access, Clubhouse, Fitness Center, Laundry Facilities, Playground, Breakfast/Coffee Concierge, Car Wash Area, Lounge",2005.0,,2016-05-03,36000000,2.98,,Masonry,,,,,,108.0,1.0,798.0,0.0,0.083,138.0,1.0,1203.0,0.0,0.08,42.0,1.0,1554.0,0.083,0.071,,,,,,33.0,36.6,3673.0,38.3,3235.0,3824.0,S3825,FL Pinellas 14330 58th St,14.0,,0.0538,2169594.444055944,,2006.0,0.38302160399999996,3.0,108.11,1803789.47,2007-02-16,34272000.0,34272000.0,514080.0,1907770.0836157755
29,FL Pinellas 32-29-16-70362-100-0800,FL Pinellas2175 62nd St,P2861,3,Clearwater,FL,337602511,Pinellas,,,11.231,184,0.0712,0.0109,900.0,0.0,1.087,,"Business Center, Fitness Center, Laundry Facilities, Picnic Area, Pool, Grill, Pet Play Area",1984.0,2009.0,2014-04-09,13400000,3.26,,Reinforced Concrete,,,,,,,,,,,184.0,1.0,900.0,0.0,0.011000000000000001,,,,,,,,,,,40.2,41.3,3094.0,42.0,2909.0,2044.0,S2045,FL Pinellas 2175 62nd St,35.0,,0.0712,1249210.0,7525000.0,2013.0,0.338496633,2.0,80.92,1193126.17,2014-04-09,13400000.0,13400000.0,0.0,874670.152664038
30,FL Pinellas 32-29-16-70362-100-0800,FL Pinellas2175 62nd St,P2861,3,Clearwater,FL,337602511,Pinellas,,,11.231,184,0.0757,0.0109,900.0,0.0,1.087,,"Business Center, Fitness Center, Laundry Facilities, Picnic Area, Pool, Grill, Pet Play Area",1984.0,2009.0,2014-04-09,13400000,3.26,,Reinforced Concrete,,,,,,,,,,,184.0,1.0,900.0,0.0,0.011000000000000001,,,,,,,,,,,40.2,41.3,3094.0,42.0,2909.0,2112.0,S2113,FL Pinellas 2175 62nd St,35.0,,0.0757,776241.0,5850000.0,2011.0,0.338496633,2.0,53.14,783545.54,2012-04-16,8800000.0,8800000.0,0.0,614092.1608533011
31,FL Pinellas 32-29-16-70362-100-0800,FL Pinellas2175 62nd St,P2861,3,Clearwater,FL,337602511,Pinellas,,,11.231,184,0.1301,0.0109,900.0,0.0,1.087,,"Business Center, Fitness Center, Laundry Facilities, Picnic Area, Pool, Grill, Pet Play Area",1984.0,2009.0,2014-04-09,13400000,3.26,,Reinforced Concrete,,,,,,,,,,,184.0,1.0,900.0,0.0,0.011000000000000001,,,,,,,,,,,40.2,41.3,3094.0,42.0,2909.0,2156.0,S2157,FL Pinellas 2175 62nd St,35.0,,0.1301,800400.0,5500000.0,2002.0,0.338496633,2.0,39.86,587659.16,2002-12-17,6600000.0,6600000.0,0.0,762842.9481346678
32,FL Pinellas 32-29-16-70362-100-0800,FL Pinellas2175 62nd St,P2861,3,Clearwater,FL,337602511,Pinellas,,,11.231,184,0.1502,0.0109,900.0,0.0,1.087,,"Business Center, Fitness Center, Laundry Facilities, Picnic Area, Pool, Grill, Pet Play Area",1984.0,2009.0,2014-04-09,13400000,3.26,,Reinforced Concrete,,,,,,,,,,,184.0,1.0,900.0,0.0,0.011000000000000001,,,,,,,,,,,40.2,41.3,3094.0,42.0,2909.0,2206.0,S2207,FL Pinellas 2175 62nd St,35.0,,0.1502,800400.0,6000000.0,2003.0,0.338496633,2.0,39.86,587659.16,2004-03-26,2640000.0,2640000.0,0.0,279352.8662420382
33,FL Pinellas 35-30-16-00000-210-0200,FL Pinellas3035 66th Ave,P2862,2,Saint Petersburg,FL,337026262,Pinellas,,,17.2521,130,0.07045000000000001,0.0415,,0.0,,,,1973.0,,2006-12-08,5500000,9.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.3,44.2,1905.0,44.3,1848.0,675.0,S676,FL Pinellas 3035 66th Ave,46.0,,,2357100.0,3025000.0,2005.0,0.017250809,1.0,424.25,318801.77,2006-12-08,5500000.0,5500000.0,0.0,231003.96974439232
34,FL Pinellas 35-30-16-00000-210-0200,FL Pinellas3035 66th Ave,P2862,2,Saint Petersburg,FL,337026262,Pinellas,,,17.2521,130,0.07045000000000001,0.0415,,0.0,,,,1973.0,,2006-12-08,5500000,9.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.3,44.2,1905.0,44.3,1848.0,821.0,S822,FL Pinellas 3035 66th Ave,46.0,,,2041000.0,2255200.0,1998.0,0.017250809,1.0,188.98,142011.7,1999-07-06,2450000.0,2450000.0,0.0,30061.60667709964
35,FL Pinellas 18-30-16-66551-001-0101,FL Pinellas11300 66th St,P2863,3,Largo,FL,337735529,Pinellas,,,10.0,256,0.0584,0.0273,1003.0,0.005,1.195,,"Clubhouse, Playground, Tennis Court",1984.0,,2017-12-27,20400000,4.97,,Reinforced Concrete,,,,,,,,,,,256.0,1.0,1003.0,0.005,0.027000000000000003,,,,,,,,,,,41.4,42.9,1858.0,43.5,1821.0,1010.0,S1011,FL Pinellas 11300 66th St,35.0,,0.0584,2169594.444055944,8725336.0,2017.0,0.381561065,2.0,122.74,2040000.0,2017-12-27,20400000.0,20400000.0,102000.0,1100660.5165694798
36,FL Pinellas 18-30-16-66551-001-0101,FL Pinellas11300 66th St,P2863,3,Largo,FL,337735529,Pinellas,,,10.0,256,0.09,0.0273,1003.0,0.005,1.195,,"Clubhouse, Playground, Tennis Court",1984.0,,2017-12-27,20400000,4.97,,Reinforced Concrete,,,,,,,,,,,256.0,1.0,1003.0,0.005,0.027000000000000003,,,,,,,,,,,41.4,42.9,1858.0,43.5,1821.0,1255.0,S1256,FL Pinellas 11300 66th St,35.0,0.09,0.09,2169594.444055944,,,0.381561065,2.0,34.9,580000.0,2009-04-01,5800000.0,5800000.0,29000.0,338590.0072324098
37,FL Pinellas 08-30-16-70974-300-0900,FL Pinellas11911 66th St,P2864,2,Largo,FL,337733639,Pinellas,,,16.32,309,0.07045000000000001,,,0.0,0.065,,,1980.0,,1999-02-26,300000,,,Wood Frame,,,,,,257.0,,,,0.0,52.0,,,,0.0,,,,,,,,,,,41.4,44.9,1949.0,45.6,1940.0,,,,,,,2169594.444055944,,,,,,,,,300000,0.0,
38,FL Pinellas 17-30-16-69750-300-5400,FL Pinellas10611 66th St,P2865,2,Pinellas Park,FL,337822339,Pinellas,,,60.994,309,0.07045000000000001,0.0060999999999999995,404.0,0.003,0.0,,,1972.0,1991.0,2015-01-06,30730443,5.29,,,,,,,,,,,,,209.0,,,0.003,0.005,100.0,1.0,1248.0,0.003,0.01,,,,,,42.4,43.8,1637.0,44.2,1613.0,4575.0,S4576,FL Pinellas 10611 66th St,47.0,,,2169594.444055944,4531200.0,1996.0,0.08722578,1.0,25.67,97550.58,1997-05-13,5950000.0,5950000.0,17850.0,269229.4032762439
