,SCAPN,SCSitus_NumNam_x,PropID,Star_rating,City,State,Zip,County,For_sale_price,For_sale_status,Land_area,Num_units,Cap_rate,Vacancy_%,Avg_unit_sqft,Avg_Concession_%,Parking_per_unit,Days_on_mkt,Amenities,Year_built,Year_reno,Last_sale_date,Last_sale_price,Transit_dist_mile,Transit_walk_time_min,Const_material,Num_studio,Studio_rent_sqft,Studio_avg_sqft,Studio_concession_%,Studio_vacancy_%,Num_1_bed,1_bed_rent_sqft,1_bed_avg_sqft,1_bed_concession_%,1_bed_vacancy_%,Num_2_bed,2_bed_rent_sqft,2_bed_avg_sqft,2_bed_concession_%,2_bed_vacancy_%,Num_3_bed,3_bed_rent_sqft,3_bed_avg_sqft,3_bed_concession_%,3_bed_vacancy_%,Num_4_bed,4_bed_rent_sqft,4_bed_avg_sqft,4_bed_concession_%,4_bed_vacancy_%,2010_Avg_age,2019_Avg_age,2019_Pop_25_39,2024_Avg_age,2024_Pop_25_39,Unnamed: 0.1,SID,SCSitus_NumNam_y,Building_age,Cap_rate_pro_forma,Cap_rate_actual,Land_value,Total_value,Assessed_yr,Floor_area_ratio,Num_floors,Price_per_sqft,Land_price_per_AC,Sale_date,Sale_price,Price,Concession_value,NOI
729,FL Hillsborough A-22-28-19-440-000000-00050.0,FL Hillsborough8412 Rio Bravo Ct,P3575,3,Tampa,FL,33617,Hillsborough,,,20.7653,296,0.0625,0.14529999999999998,999.0,0.01,1.351,,"Clubhouse, Fitness Center, Laundry Facilities, Picnic Area, Property Manager on Site, Tennis Court, Gameroom, Grill, Recycling, Maintenance on site",1973.0,2019.0,2015-04-24,13000000,16.44,,Masonry,,,,,,56.0,1.0,688.0,0.01,0.14300000000000002,200.0,1.0,1018.0,0.01,0.145,40.0,1.0,1340.0,0.01,0.15,,,,,,34.4,36.2,5204.0,37.1,5333.0,4538.0,S4539,FL Hillsborough 8412 Rio Bravo Ct,46.0,,0.0625,1776000.0,12507961.0,2014.0,0.327000805,2.0,43.95,626044.41,2015-04-24,13000000.0,13000000.0,130000.0,830262.0802620803
730,FL Hillsborough A-01-28-19-5I2-000000-00005.0,FL Hillsborough14059 Riveredge Dr,P3576,4,Tampa,FL,33637,Hillsborough,,,16.15,300,0.05,0.0933,980.0,0.001,,,"Courtyard, Fitness Center, Gated, Cabana, Car Wash Area, Grill, Package Service, Pet Play Area, Wi-Fi, Bicycle Storage, Confere Rooms, Lounge, Green Community",2017.0,,2018-09-27,59134000,23.33,,,,,,,,129.0,2.0,803.0,0.002,0.09300000000000001,159.0,1.0,1097.0,0.002,0.08800000000000001,12.0,2.0,1313.0,0.001,0.16699999999999998,,,,,,30.0,31.4,368.0,32.8,318.0,4237.0,S4238,FL Hillsborough 14059 Riveredge Dr,2.0,,0.05,1800000.0,3953660.0,2017.0,0.326215044,3.0,257.68,3661547.99,2018-09-27,59134000.0,59134000.0,59134.0,3164946.1784493215
731,FL Pasco 28-25-16-0140-00D00-0000,FL Pasco8540 Robilina Rd,P3577,2,Port Richey,FL,346685436,Pasco,,,7.8679999999999986,345,0.07045000000000001,0.018799999999999997,772.0,0.004,1.159,,"Clubhouse, Laundry Facilities, Laundry Service, Lake Access",1978.0,,2017-06-16,7734364,29.22,,Masonry,,,,,,237.0,1.0,689.0,0.004,0.021,108.0,1.0,954.0,0.004,0.019,,,,,,,,,,,40.4,40.2,2132.0,40.6,2211.0,,,,,,,1839345.358974359,,,,,,,,,7734364,30937.456000000002,425482.6814466536
732,FL Hillsborough U-04-28-19-ZZZ-000001-25420.2,FL Hillsborough4050 Rocky Cir,P3578,4,Tampa,FL,33613,Hillsborough,,,9.8526,224,0.061399999999999996,0.0625,1255.0,0.0,3.589,,"Business Center, Clubhouse, Fitness Center, Tanning Salon, Breakfast/Coffee Concierge, Furnished Units Available, Gameroom, Grill, Recycling, Wi-Fi",2009.0,,2016-06-30,45500000,18.95,,Masonry,,,,,,,,,,,,,,,,90.0,1.0,1133.0,0.0,0.067,134.0,1.0,1337.0,0.0,0.06,27.8,28.6,9494.0,29.5,8788.0,1910.0,S1911,FL Hillsborough 4050 Rocky Cir,10.0,0.061399999999999996,0.061399999999999996,2557829.3079584776,1109862.0,2009.0,0.654931858,4.0,147.64,4212086.15,2010-12-16,41500000.0,41500000.0,0.0,2550452.5658574393
733,FL Hillsborough U-04-28-19-ZZZ-000001-25420.2,FL Hillsborough4050 Rocky Cir,P3578,4,Tampa,FL,33613,Hillsborough,,,9.8526,224,0.07045000000000001,0.0625,1255.0,0.0,3.589,,"Business Center, Clubhouse, Fitness Center, Tanning Salon, Breakfast/Coffee Concierge, Furnished Units Available, Gameroom, Grill, Recycling, Wi-Fi",2009.0,,2016-06-30,45500000,18.95,,Masonry,,,,,,,,,,,,,,,,90.0,1.0,1133.0,0.0,0.067,134.0,1.0,1337.0,0.0,0.06,27.8,28.6,9494.0,29.5,8788.0,2763.0,S2764,FL Hillsborough 4050 Rocky Cir,10.0,,,1176000.0,20528440.0,2015.0,0.654931858,4.0,161.87,4618070.36,2016-06-30,45500000.0,45500000.0,0.0,3330800.853333334
734,FL Hillsborough A-23-29-18-4S5-000001-00001.0,FL Hillsborough400 Rome Ave,P3579,4,Tampa,FL,33606,Hillsborough,,,2.8989,274,0.07045000000000001,0.0215,804.0,0.0,0.0,,"Controlled Access, Courtyard, Fitness Center, Picnic Area, Cabana, Grill",2017.0,,2017-12-18,58088000,7.31,,Masonry,,,,,,199.0,2.0,672.0,0.004,0.02,66.0,2.0,1110.0,0.005,0.03,9.0,2.0,1465.0,0.004,0.0,,,,,,32.6,33.8,7248.0,34.9,6845.0,3726.0,S3727,FL Hillsborough 400 Rome Ave,2.0,,,2740000.0,2740000.0,2017.0,1.74518515,4.0,263.59,20037945.43,2017-12-18,58088000.0,58088000.0,0.0,3984942.871742463
735,FL Hillsborough A-23-29-18-4Q7-000010-00001.0,FL Hillsborough401 Rome Ave,P3580,4,Tampa,FL,33606,Hillsborough,,,8.4812,311,0.07045000000000001,0.0418,836.0,0.006,0.723,,"Clubhouse, Courtyard, Fitness Center, Spa, Grill",2013.0,,2014-09-10,57250000,7.43,,Reinforced Concrete,,,,,,176.0,2.0,673.0,0.006,0.04,129.0,2.0,1025.0,0.006,0.039,6.0,2.0,1555.0,0.006,0.0,,,,,,32.3,34.1,8194.0,35.3,7652.0,4242.0,S4243,FL Hillsborough 401 Rome Ave,6.0,,,2557829.3079584776,,,0.930911837,3.0,166.46,6750224.02,2014-09-10,57250000.0,57250000.0,343500.0,4046402.630196541
736,FL Hillsborough A-23-29-18-4Q7-000003-00001.0,FL Hillsborough801 Rome Ave,P3582,4,Tampa,FL,336061037,Hillsborough,,,4.8707,249,0.07045000000000001,0.0229,984.0,0.0,1.245,,"Business Center, Controlled Access, Clubhouse, Courtyard, Fitness Center, Laundry Facilities, Property Manager on Site, Spa, Breakfast/Coffee Concierge, Gameroom, Guest Apartment, Pet Play Area, Storage Space, Elevator, Lounge, Maintenance on site, Sundeck",2009.0,,2008-08-26,43672223,7.2,,Masonry,3.0,3.0,522.0,0.0,0.0,108.0,2.0,788.0,0.0,0.019,115.0,2.0,1116.0,0.0,0.017,23.0,2.0,1306.0,0.0,0.044000000000000004,,,,,,32.5,34.2,8430.0,35.3,7929.0,,,,,,,2557829.3079584776,,,,,,,,,43672223,0.0,2964393.6501937634
737,FL Pinellas 11-32-16-73539-001-0170,FL Pinellas2540 Roy Hanna Dr,P3584,3,Saint Petersburg,FL,337125659,Pinellas,,,16.78,416,0.067,0.0471,786.0,0.006,0.9620000000000001,,"Business Center, Clubhouse, Fitness Center, Laundry Facilities, Picnic Area, Playground, Property Manager on Site, Tennis Court, Furnished Units Available, Grill, Laundry Service, Package Service, Volleyball Court, Wi-Fi, Maintenance on site",1973.0,,2012-10-12,23211000,18.16,,Wood Frame,,,,,,253.0,1.0,622.0,0.006,0.047,131.0,1.0,984.0,0.006,0.046,32.0,1.0,1270.0,0.006999999999999999,0.063,,,,,,38.9,41.0,2451.0,41.5,2444.0,5841.0,S5842,FL Pinellas 2540 Roy Hanna Dr,46.0,0.0754,0.067,1764649.0,13650000.0,2011.0,0.471514606,2.0,67.35,1383253.87,2012-10-12,23211000.0,23211000.0,139266.0,1517720.9980060868
738,FL Hillsborough U-28-28-18-ZZZ-000000-98300.0,FL Hillsborough3606 Royalty Ct,P3587,2,Tampa,FL,336143216,Hillsborough,,,7.7,150,0.0799,,972.0,0.0,1.34,,"Day Care, Laundry Facilities, Playground, Property Manager on Site, Gameroom, Pet Play Area",1974.0,,2014-08-01,8150000,8.6,,Masonry,,,,,,36.0,1.0,690.0,0.0,0.0,80.0,1.0,960.0,0.0,0.0,34.0,1.0,1300.0,0.0,0.0,,,,,,36.2,37.2,4174.0,38.2,3988.0,1170.0,S1171,FL Hillsborough 3606 Royalty Ct,45.0,,0.0799,1200000.0,3710605.0,2013.0,0.40806232299999995,3.0,59.55,1058441.56,2014-08-01,8150000.0,8150000.0,0.0,
739,FL Hillsborough U-28-28-18-ZZZ-000000-98300.0,FL Hillsborough3606 Royalty Ct,P3587,2,Tampa,FL,336143216,Hillsborough,,,7.7,150,0.07045000000000001,,972.0,0.0,1.34,,"Day Care, Laundry Facilities, Playground, Property Manager on Site, Gameroom, Pet Play Area",1974.0,,2014-08-01,8150000,8.6,,Masonry,,,,,,36.0,1.0,690.0,0.0,0.0,80.0,1.0,960.0,0.0,0.0,34.0,1.0,1300.0,0.0,0.0,,,,,,36.2,37.2,4174.0,38.2,3988.0,1325.0,S1326,FL Hillsborough 3606 Royalty Ct,45.0,,,2557829.3079584776,3380300.0,2009.0,0.40806232299999995,3.0,24.48,435064.94,2010-11-19,3350000.0,3350000.0,0.0,
740,FL Pasco 06-26-20-0000-00400-0033,FL Pasco6135 Ryerson Cir,P3588,3,Wesley Chapel,FL,335445319,Pasco,,,15.4922,200,0.0443,0.013500000000000002,1101.0,0.004,,,"Clubhouse, Picnic Area, Playground, Car Wash Area, Volleyball Court, Sundeck",2000.0,,2016-09-15,15308200,31.17,,,,,,,,,,,,,100.0,1.0,1068.0,0.003,0.01,100.0,1.0,1134.0,0.004,0.01,,,,,,36.4,38.4,408.0,39.4,444.0,2428.0,S2429,FL Pasco 6135 Ryerson Cir,19.0,0.058600000000000006,0.0443,744137.0,6553257.0,2015.0,0.326299567,2.0,69.52,988123.06,2016-09-15,15308200.0,15308200.0,61232.8,656766.9578712621
741,FL Hillsborough A-17-30-18-ZZZ-000005-55650.0,FL Hillsborough6301 Westshore Blvd,P3589,3,Tampa,FL,33616    ,Hillsborough,,,27.8,608,0.07045000000000001,0.042800000000000005,759.0,0.0,1.645,,"Business Center, Fitness Center, Laundry Facilities, Property Manager on Site, Spa, Tennis Court, Basketball Court, Racquetball Court, Recycling, Storage Space",1987.0,2018.0,2015-01-30,85125000,8.91,,Masonry,27.0,2.0,450.0,0.0,0.111,295.0,2.0,685.0,0.0,0.040999999999999995,286.0,2.0,864.0,0.0,0.039,,,,,,,,,,,34.9,36.5,2875.0,37.8,2666.0,6174.0,S6175,FL Hillsborough 6301 S Westshore Blvd,32.0,,,20800000.0,49687225.0,2013.0,0.5149698420000001,3.0,136.5,3062050.36,2015-01-30,85125000.0,85125000.0,0.0,4734325.37609695
742,FL Hillsborough U-35-28-17-ZZZ-000000-42130.0,FL Hillsborough8301 Sandstone Lake Dr,P3592,3,Tampa,FL,336153014,Hillsborough,,,24.9366,400,0.046,0.06,728.0,0.031,1.0,,"Business Center, Clubhouse, Courtyard, Fitness Center, Laundry Facilities, Sauna, Spa, Tennis Court, Pet Play Area",1985.0,,2015-09-30,29500000,,,Masonry,,,,,,256.0,1.0,604.0,0.049,0.059000000000000004,144.0,1.0,947.0,0.006999999999999999,0.063,,,,,,,,,,,37.1,39.0,4683.0,39.8,4983.0,5718.0,S5719,FL Hillsborough 8302 Crystal Harbour Dr,34.0,,0.046,3200000.0,25831200.0,2018.0,0.688585874,2.0,143.99,4319066.15,2019-06-12,44400000.0,44400000.0,1376400.0,2083525.9574468085
743,FL Hillsborough U-35-28-17-ZZZ-000000-42130.0,FL Hillsborough8301 Sandstone Lake Dr,P3592,3,Tampa,FL,336153014,Hillsborough,,,24.9366,400,0.057999999999999996,0.06,728.0,0.031,1.0,,"Business Center, Clubhouse, Courtyard, Fitness Center, Laundry Facilities, Sauna, Spa, Tennis Court, Pet Play Area",1985.0,,2015-09-30,29500000,,,Masonry,,,,,,256.0,1.0,604.0,0.049,0.059000000000000004,144.0,1.0,947.0,0.006999999999999999,0.063,,,,,,,,,,,37.1,39.0,4683.0,39.8,4983.0,5800.0,S5801,FL Hillsborough 8302 Crystal Harbour Dr,34.0,0.0625,0.057999999999999996,3200000.0,10692832.0,2014.0,0.688585874,2.0,95.67,2869649.81,2015-09-30,29500000.0,29500000.0,914500.0,1679192.5531914895
744,FL Hillsborough U-01-28-18-0TD-000011-00567.0,FL Hillsborough13944 Sandy Hill Loop,P3593,3,Tampa,FL,336134574,Hillsborough,,,16.71,200,0.0536,0.06,775.0,0.006999999999999999,2.5,,"Clubhouse, Fitness Center, Laundry Facilities, Picnic Area, Playground, Property Manager on Site, Breakfast/Coffee Concierge, Grill, Package Service, Storage Space, Maintenance on site, Sundeck",1983.0,,2018-01-22,17600000,,,Reinforced Concrete,,,,,,80.0,1.0,625.0,0.006999999999999999,0.063,120.0,1.0,876.0,0.006999999999999999,0.057999999999999996,,,,,,,,,,,39.3,40.0,2956.0,40.8,2996.0,2404.0,S2405,FL Hillsborough 13944 Sandy Hill Loop,36.0,,0.0536,1000000.0,8242600.0,2017.0,0.21261542,2.0,113.72,1053261.52,2018-01-22,17600000.0,17600000.0,123199.99999999999,953578.2127659576
745,FL Pasco 01-26-21-0010-06700-0000,FL Pasco6340 Santa Fe Dr,P3594,2,Zephyrhills,FL,335421788,Pasco,,,44.87,332,0.07045000000000001,0.0437,,0.0,0.06,,,1985.0,,2015-01-06,14864728,40.44,,Masonry,,,,,,,,,,,,,,,,,,,,,,,,,,50.7,50.1,886.0,49.4,993.0,,,,,,,1839345.358974359,,,,,,,,,14864728,0.0,959571.4807699012
746,FL Hillsborough U-05-28-19-ZZZ-000001-26480.0,FL Hillsborough14003 Saulk Ct,P3595,3,Tampa,FL,33613,Hillsborough,,,13.0,231,0.07045000000000001,0.030299999999999997,865.0,0.0,2.165,,"Business Center, Clubhouse, Fitness Center, Laundry Facilities, Property Manager on Site, Tennis Court, Laundry Service, Maintenance on site",1970.0,,2006-05-10,14750000,18.2,,Reinforced Concrete,,,,,,81.0,1.0,725.0,0.0,0.025,150.0,1.0,940.0,0.0,0.033,,,,,,,,,,,31.1,31.3,10336.0,32.1,9447.0,,,,,,,2557829.3079584776,,,,,,,,,14750000,0.0,885777.4829888887
747,FL Pasco 07-26-16-0090-00300-0010,FL Pasco5852 Sea Forest Dr,P3596,3,New Port Richey,FL,346522049,Pasco,,,10.9155,196,0.07045000000000001,0.3276,775.0,0.0,0.0,,,1995.0,2019.0,2017-02-27,4350000,25.95,,,,,,,,98.0,,650.0,,0.327,98.0,,900.0,,0.327,,,,,,,,,,,50.8,50.6,998.0,50.7,1091.0,2188.0,S2189,FL Pasco 5852 Sea Forest Dr,24.0,,,562040.0,2401199.0,2015.0,0.58691551,6.0,15.59,398515.87,2017-02-27,4350000.0,4350000.0,0.0,396879.50922070205
748,FL Hillsborough U-05-28-19-ZZZ-000001-26110.0,FL Hillsborough14566 Seaford Cir,P3597,2,Tampa,FL,336135076,Hillsborough,,,17.0635,260,0.07045000000000001,0.1042,822.0,0.01,1.538,,"Gated, Grill, Multi Use Room, Pond",1974.0,2017.0,2015-11-11,9550000,19.1,,Reinforced Concrete,,,,,,109.0,1.0,700.0,0.01,0.10099999999999999,151.0,1.0,909.0,0.01,0.106,,,,,,,,,,,32.4,33.1,7913.0,34.0,7317.0,4029.0,S4030,FL Hillsborough 14566 Seaford Cir,45.0,,,1560000.0,9387573.0,2005.0,0.331293742,2.0,53.04,765376.39,2006-04-19,13060000.0,13060000.0,130600.0,914686.0571556152
749,FL Hillsborough U-27-28-17-ZZZ-000000-38820.0,FL Hillsborough8000 Sheldon Rd,P3599,2,Tampa,FL,336151940,Hillsborough,,,57.8157,406,0.07045000000000001,0.054900000000000004,,0.0,0.025,,,1971.0,,2011-07-01,6728866,8.71,,Masonry,,,,,,,,,,,,,,,,,,,,,,,,,,37.8,39.5,4023.0,40.4,4208.0,,,,,,,2557829.3079584776,,,,,,,,,6728866,0.0,310918.9873604119
