,SID,SCAPN,SCSitus_NumNam,Building_age,Cap_rate_pro_forma,Cap_rate_actual,Land_value,Total_value,Assessed_yr,Floor_area_ratio,Num_floors,Price_per_sqft,Land_price_per_AC,Sale_date,Sale_price,Listing_broker_company
19431,S19432,TX Dallas 65127160010130000,TX Dallas 1601 Miller Ferry Rd,38,,,543150,1821770,2018,6.34E-07,1,,,3/27/19,,
19432,S19433,TX Collin S19433,TX Collin 3250 Hudson Crossing,17,,,,,,0.330323924,3,,,4/28/17,,
19433,S19434,TX Dallas 760680000000,TX Dallas 526 Walton Walker Blvd,50,,,0,0,2009,0.38087446,2,,,9/7/10,,
19434,S19435,TX Bexar 12160-100-0000,TX Bexar 1946 Loop 410,47,,,2795110,13328730,2015,0.553128662,3,,,7/29/16,,Newmark Knight Frank
19435,S19436,TX Tarrant 120375,TX Tarrant 2201 Miller Rd,48,,,3210580,3880855,2016,0.002811018,,,,6/30/17,,
19436,S19437,TX Travis 02-3910-0512-0000,TX Travis 8200 Research Blvd,49,,,,,,0.38137605,2,,,9/4/03,,
19437,S19438,TX Travis S19438,TX Travis 1500 Faro Dr,23,,,,,,0.318741159,2,,,5/14/19,,
19438,S19439,TX Brazoria 7251-0001-000,TX Brazoria 400 Timbercreek Dr,33,,,638440,8617730,2009,0.449326423,2,,,6/30/10,,Newmark Knight Frank
19439,S19440,TX Nueces 272335,TX Nueces 9320 Padre Island Dr,35,,,1595342,13278320,2015,0.32569258,2,,,7/29/16,,Newmark Knight Frank
19440,S19441,TX Tarrant 40481069,TX Tarrant 8889 Cook Ranch Rd,15,,,2028153,30100000,2018,0.352366907,3,,,5/23/19,,Newmark Knight Frank
19441,S19442,TX Travis 287440,TX Travis 4501 Riverside Dr,23,,,1411955,7502421,2011,0.237817602,3,,,11/18/11,,
19442,S19443,TX Dallas 791869500000,TX Dallas 9857 Audelia Rd,50,,,2034680,2435810,2014,0.259083966,2,,,4/21/15,,
19443,S19444,TX Dallas 006061000A0080000,TX Dallas 1853 Mockingbird Ln,46,,,2313120,3800000,2011,0.496352482,3,,,10/1/12,,
19444,S19445,TX Bexar 08416-002-0350,TX Bexar 2803 Fredericksburg Rd,14,,,176290,176290,2017,0.452061795,2,,,4/4/18,,
19445,S19446,TX Dallas 0026960A000010000,TX Dallas 7150 Grand Ave,33,,,1469100,10332270,2013,0.468028131,3,,,5/20/14,,JLL
19446,S19447,TX Jefferson 036050-000-002500-00000-0,TX Jefferson 520 Dowlen Rd,45,,,767090,7399880,2013,0.6394111,3,,,9/19/14,,
19447,S19448,TX Cameron 789642-0010-036000,TX Cameron 2454 Price Rd,45,,,25981,143285,2016,0.752623183,2,,,12/23/16,,
19448,S19449,TX Harris 1164270000001,TX Harris 9603 Homestead Rd,33,,,0,2646059,2010,0.737893807,2,,,3/1/11,,
19449,S19450,TX Tarrant 6934528,TX Tarrant 601 Ash Ln,23,,,1364330,6900000,2013,0.412290282,2,,,9/23/14,,
19450,S19451,TX Harris 1080610000003,TX Harris 9303 Woodfair Dr,40,,,0,5429516,2011,0.540514302,2,,,12/28/12,,
19451,S19452,TX Tarrant 395412,TX Tarrant 1609 Sherry St,51,,,986028,5700000,2013,0.433944813,2,,,12/4/14,,Marcus & Millichap
19452,S19453,TX Comal 376665,TX Comal 2056 Sundance Pky,7,,,1648610,24769940,2019,0.418055272,3,,,6/4/19,,
19453,S19454,TX Travis 445755,TX Travis 4501 Riverside Dr,23,,,219322,2059167,2011,0.237817602,3,,,11/18/11,,
19454,S19455,TX Harris 1218430010001,TX Harris 11111 Montgomery Rd,19,,,2610268,5490540,2010,0.29881836,3,,,1/4/11,,
19455,S19456,TX Harris 370610010015,TX Harris 6050 Glenmont Dr,47,,,973496,3030337,2014,0.854817248,2,,,1/6/15,,KET Enterprises Incorporated
19456,S19457,TX Bexar 14667-000-0260,TX Bexar 6674 Prue Rd,12,,,1347550,24155000,2016,0.433596454,3,,,4/13/17,,
19457,S19458,TX Collin R2132903,TX Collin 5900 Baywater Dr,18,,,2613600,22000000,2010,0.562228344,2,,,11/16/11,,
19458,S19459,TX Tarrant 395412,TX Tarrant 1609 Sherry St,51,,7.06,986028,6809944,2016,0.433944813,2,,,4/13/17,,Marcus & Millichap
19459,S19460,TX Harris 1192590010003,TX Harris 10 Oak Ct,21,,,6127200,17271257,2006,1.071861417,3,,,6/13/06,,Southwest Residential Partners
19460,S19461,TX Hidalgo I8030-00-000-0001-00,TX Hidalgo 302 Doolittle Rd,14,,,616416,3168963,2018,,2,,,5/17/19,,
19461,S19462,TX Harris S19462,TX Harris 13050 Champions Park Dr,27,,,,,,0.549136671,3,,,3/4/19,,Newmark Knight Frank
19462,S19463,TX Denton R86359,TX Denton 1939 Colorado Blvd,35,,,2880360,8953200,2007,0.269536871,2,,,1/7/08,,
19463,S19464,TX Tarrant 4980530,TX Tarrant 1801 Arkansas Ln,35,,,578259,11058000,2013,0.565775889,3,,,9/23/14,,
19464,S19465,TX Harris 1034450000001,TX Harris 12800 Dunlap Dr,40,,,1455756,4681032,2011,0.731390349,2,,,7/9/12,,Newmark Knight Frank
19465,S19466,TX Williamson R392272,TX Williamson 10015 Lake Creek Pky,18,,,0,18443533,2007,0.393822897,3,,,11/14/08,,
19466,S19467,TX Bexar 14862-000-0220,TX Bexar 10951 Laureate Dr,34,,,1899000,14998000,2015,0.968343782,3,,,9/30/15,,"Stream Realty Partners, LP"
19467,S19468,TX Dallas 656644510000,TX Dallas 3901 Altoona Dr,41,,,358160,1276000,2015,0.004686196,2,,,4/5/13,,
19468,S19469,TX Tarrant S19469,TX Tarrant 2855 Bowie St,12,,,,,,3.50944448,6,,,9/20/18,,
19469,S19470,TX Harris 1218430010001,TX Harris 11111 Montgomery Rd,19,,6.5,2643791,7674925,2014,0.29881836,3,,,8/5/15,,Moran & Company
19470,S19471,TX Harris 1137630000009,TX Harris 13050 Champions Park Dr,27,,,3911680,13395792,2014,0.549136671,3,,,6/25/14,,
19471,S19472,TX Nueces S19472,TX Nueces 6947 Everhart Rd,35,,,,,,0.414069045,2,,,7/1/14,,Newmark Knight Frank
19472,S19473,TX Dallas S19473,TX Dallas 1814 Estrada Pky,34,,,,,,0.435331038,2,,,1/12/17,,
19473,S19474,TX Dallas 32160750000010000,TX Dallas 3424 Country Club Dr,38,,,8114280,9328600,2013,0.473657025,3,,,11/7/13,,CBRE
19474,S19475,TX Galveston 7263-0000-0002-000,TX Galveston 1750 League City Pky,13,,,1688570,13541420,2012,0.483065481,3,,,11/21/13,,
19475,S19476,TX Tarrant 5747694,TX Tarrant 9211 Dale Lane Ct,33,,,162141,2896915,2008,0.845265288,2,,,2/25/09,,
19476,S19477,TX Bexar S19477,TX Bexar 12900 Loop 1604,20,,,,,,0.447511893,3,,,7/29/14,,Berkadia Real Estate Advisors
19477,S19478,TX Fort Bend S19478,TX Fort Bend 12903 Sugar Ridge Blvd,34,,,,,,0.60534372,2,,,4/2/19,,
19478,S19479,TX Harris 460300000024,TX Harris 3823 Red Bluff Rd,58,,,0,5000000,2007,0.347239956,2,,,11/30/07,,
19479,S19480,TX Harris 1105410000001,TX Harris 3120 Decker Dr,41,,,0,4093000,2010,0.452067573,2,,,5/4/11,,
19480,S19481,TX Harris 160010000013,TX Harris 5050 Yale St,47,,9.93,1214017,4833362,2014,0.433476414,2,,,4/10/15,,"Houston Income Properties, Inc."
19481,S19482,TX Harris 432090050184,TX Harris 2800 Hirschfield Rd,34,,,870329,6200000,2014,0.325569088,2,,,12/17/15,,
19482,S19483,TX Dallas 008597000A0020000,TX Dallas 6969 Clarkridge Dr,17,,,586220,7995290,2009,0.546278661,2,,,2/10/10,,
19483,S19484,TX Travis 2252002030000,TX Travis 6855 Highway 290,47,,6,3313931,15889920,2017,0.6172528,2,,,10/31/17,,JLL
19484,S19485,TX Harris 1195280010001,TX Harris 9721 Cypresswood Dr,21,,,2173823,17771000,2015,0.427764357,3,,,3/31/16,,
19485,S19486,TX Tarrant 41651367,TX Tarrant 4000 Hulen St,5,4.86,,799064,34428000,2016,1.80583783,5,,,8/2/17,,Marcus & Millichap
19486,S19487,TX Harris S19487,TX Harris 12801 Roydon Dr,36,,,,,,0.568599807,3,,,8/1/13,,
19487,S19488,TX Travis 380088,TX Travis 1500 Faro Dr,23,,,1618950,6900000,2012,0.318741159,2,,,2/8/13,,
19488,S19489,TX Fort Bend 0049-00-000-0354-901,TX Fort Bend 21811 Wildwood Park Dr,12,,7,1591180,13972950,2010,0.45320035,3,,,12/1/10,,JLL
19489,S19490,TX Dallas 605000000000000,TX Dallas 5000 Hampton Rd,51,,,1479120,5267260,2016,0.319032507,2,,,12/8/16,,Greystone | Investment Sales Group
19490,S19491,TX Tarrant 6776132,TX Tarrant 1901 Green Oaks Blvd,24,,,3505359,20680009,2016,0.217725488,4,,,3/29/17,,
19491,S19492,TX Collin R1623283,TX Collin 6909 Custer Rd,34,,,2317588,10215387,2006,0.334114605,2,,,10/20/06,,
19492,S19493,TX Harris 160010000013,TX Harris 5050 Yale St,47,,,1214017,4096344,2011,0.433476414,2,,,4/15/13,,Newmark Knight Frank
19493,S19494,TX Harris 1034460000002,TX Harris 12800 Dunlap Dr,40,,,1110064,3956496,2014,0.731390349,2,,,6/29/15,,
19494,S19495,TX Harris 1164270000009,TX Harris 9603 Homestead Rd,33,,,606234,2047248,2015,0.737893807,2,,,8/1/16,,KET Enterprises Incorporated
19495,S19496,TX Harris 342010000039,TX Harris 3402 Preston Ave,35,,,1416597,11311000,2015,0.464090352,2,,,2/12/16,,
19496,S19497,TX Harris 1225170010001,TX Harris 2115 Runnels,99,,,3510940,19783413,2010,0.488355759,4,,,12/30/10,,JLL
19497,S19498,TX Dallas 760680000000,TX Dallas 526 Walton Walker Blvd,50,,,1417790,7099810,2015,0.38087446,2,,,2/24/16,,
19498,S19499,TX Bexar 15723-000-0036,TX Bexar 14650 Nacogdoches Rd,35,,,2411460,18000000,2019,0.442051926,3,,,5/31/19,,JLL
19499,S19500,TX Harris 152460000001,TX Harris 10 Oak Ct,21,,,1463425,21363000,2010,1.071861417,3,,,9/9/11,,Newmark Knight Frank
19500,S19501,TX Dallas 433639000000,TX Dallas 2911 Clydedale Dr,45,,8,839540,2100000,2014,0.70083683,3,,,3/23/15,,JLL
19501,S19502,TX Harris 450720000003,TX Harris 9601 Montgomery Rd,48,,,801832,9709000,2015,0.397933549,2,,,5/17/16,,
19502,S19503,TX Tarrant S19503,TX Tarrant 4500 Marine Creek Pkwy,34,,,,,,0.483415978,2,,,6/28/18,,Marcus & Millichap
19503,S19504,TX Harris 1248160010001,TX Harris 8440 Sam Houston Pky,12,,6,,,2007,0.963602928,3,,,1/10/08,,Newmark Knight Frank
19504,S19505,TX Fort Bend 0049-00-000-0354-901,TX Fort Bend 21811 Wildwood Park Dr,12,,,1591180,21698770,2016,0.45320035,3,,,6/16/16,,
19505,S19506,TX Fort Bend 0062-00-000-2401-907,TX Fort Bend 1901 Waterside Village Dr,2,,,691770,2636666,2018,0.748065468,4,,,6/27/19,,
19506,S19507,TX Travis 187769,TX Travis 1007 Congress Ave,18,,,26007934,61900000,2016,1.279312528,4,315.84,17600896.86,2/15/17,78500000,
19507,S19508,TX Travis 191723,TX Travis 1000 5th St,4,,5.1,8150000,57224509,2016,1.836547291,4,281.25,22500000,3/27/17,67500000,
19508,S19509,TX Collin R2122987,TX Collin 1404 Vontress St,18,,,567151,20964606,2014,3.187710471,4,152.57,21184668.99,8/26/15,60800000,Newmark Knight Frank
19509,S19510,TX Travis 194738,TX Travis 811 11th St,6,,,,,,1.853863797,6,280,22611177.88,4/29/16,60200000,
19510,S19511,TX Travis 187769,TX Travis 1007 Congress Ave,18,,5,8664084,33500000,2011,1.279312528,4,218.88,12197309.42,8/31/12,54400000,Newmark Knight Frank
19511,S19512,TX Harris 1333700010001,TX Harris 145 Heights Blvd,6,4.68,,7666550,31063027,2014,1.332874631,4,260.96,15151336.65,12/10/14,53332705,
19512,S19513,TX Montgomery S19513,TX Montgomery 6900 Lake Woodlands Dr,14,,,,,,0.448451978,3,197.6,3859953.13,1/7/16,52379564,JLL
19513,S19514,TX Collin R2109631,TX Collin 8568 Warren Pky,20,,4.85,5057433,32568055,2017,0.485027681,3,184.92,3906885.89,10/5/17,50400000,
19514,S19515,TX Harris S19515,TX Harris 2345 Bering Dr,25,,,,,,0.822412962,3,158.38,5673937.91,6/23/06,49715044,CBRE
19515,S19516,TX Dallas 007748000A02G0000,TX Dallas 8025 Forest Ln,3,,,5005830,31360310,2017,0.883424219,4,194.49,7484423.68,12/8/17,48050000,
19516,S19517,TX Travis 382903,TX Travis 2600 Lake Austin Blvd,24,6.25,5.75,0,36359200,2013,0.457728803,3,200.62,4000000,6/20/13,48000000,CBRE
19517,S19518,TX Harris S19518,TX Harris 2401 Gessner Rd,11,,,,,,1.09213981,3,118.64,5644117.92,8/29/14,47721017,Cushman & Wakefield
19518,S19519,TX Brazos 004601-0054-0010,TX Brazos 614 Holleman Dr,11,,6.75,811520,28927560,2009,0.926646068,4,156.71,6325706.59,6/21/11,47000000,CBRE
19519,S19520,TX Tarrant S19520,TX Tarrant 2901 Bledsoe St,6,,,,,,3.928322274,4,96.89,16579064.31,10/9/14,46918752,JLL
19520,S19521,TX Dallas 007748000A02F0000,TX Dallas 8025 Forest Ln,3,,,4175660,19175660,2016,0.883424219,4,188.22,7242990.65,5/19/17,46500000,JLL
19521,S19522,TX Tarrant S19522,TX Tarrant 2400 State Highway 121,22,,,,,,0.539220225,2,133.54,3136669.16,8/26/15,46200000,CBRE
19522,S19523,TX Travis 439489,TX Travis 8701 Bluffstone Cv,22,,5.2,7119880,39631400,2016,0.176761406,3,176.79,1361272.56,12/29/16,44500000,
19523,S19524,TX Harris 1113780000010,TX Harris 3505 Sam Houston Pky,4,,,5445000,35082720,2017,0.28899449,4,703.81,8860000,5/11/18,44300000,Newmark Knight Frank
19524,S19525,TX Travis 187769,TX Travis 1007 Congress Ave,18,,,,,,1.279312528,4,177.84,9910313.9,8/21/08,44200000,
19525,S19526,TX Collin R2006883,TX Collin 17671 Addison Rd,22,,,3153413,27508561,2016,0.462293029,2,179.39,3612465.9,2/9/17,43700000,JLL
19526,S19527,TX Travis 820452,TX Travis 13401 Legendary Dr,6,,,6828117,36480300,2016,2.224514146,3,195.45,18939393.94,12/1/16,43000000,
19527,S19528,TX Dallas S19528,TX Dallas 5353 Las Colinas Blvd,6,,,,,,0.675638495,3,179.66,5287455.95,4/16/19,42793496,
19528,S19529,TX Travis 02-0101-0114-0000,TX Travis 1007 Congress Ave,18,3.75,,3890760,30902125,2006,1.279312528,4,172,9585201.79,4/2/07,42750000,Newmark Knight Frank
19529,S19530,TX Travis 820451,TX Travis 13201 Legendary Dr,4,,,3165360,3165360,2015,,3,170,,9/13/16,42500000,CBRE
19530,S19531,TX Parker R000098095,TX Parker 180 Crown Pointe Blvd,6,,5.96,1804360,20443126,2017,0.234820307,2,169.14,1730122.52,7/18/18,40952000,Newmark Knight Frank
19531,S19532,TX Harris 1049130000016,TX Harris 2630 Tanglewilde St,6,6.05,5.27,4162560,26603259,2014,1.103282169,3,174.78,8399581.59,5/18/15,40150000,Newmark Knight Frank
19532,S19533,TX Travis 508860,TX Travis 7601 Rialto Blvd,17,4.68,,2005674,31150000,2013,0.253793813,3,157.18,1737619.46,7/25/14,40000000,CBRE
19533,S19534,TX Tarrant S19534,TX Tarrant 6250 Rosewood Dr,16,,,,,,0.445374069,2,117.62,2281887.15,8/26/15,38500000,CBRE
19534,S19535,TX Fort Bend 0062-00-000-4000-907,TX Fort Bend 19400 Bellfort Blvd,3,,5.95,60,60,2017,0.571756316,3,133.99,3337211.71,6/8/18,37000000,Newmark Knight Frank
19535,S19536,TX Collin R2006883,TX Collin 17671 Addison Rd,22,,6,3153413,20181078,2014,0.462293029,2,151.89,3058609.57,12/19/14,37000000,JLL
19536,S19537,TX Harris 1306940010001,TX Harris 2700 Travis St,10,,,6803460,24993037,2011,2.727094997,4,133.06,15806451.61,9/30/12,36750000,
19537,S19538,TX Dallas 007731000A0010000,TX Dallas 12500 Merit Dr,22,4.5,5.25,4392140,22500000,2017,0.934308579,4,130.84,5324829.21,6/12/18,36400000,Newmark Knight Frank
19538,S19539,TX Travis 01-5205-0161-0990,TX Travis 8701 Bluffstone Cv,22,5.25,,2563157,24500000,,0.176761406,3,144.22,1110431.32,2/21/14,36300000,CBRE
19539,S19540,TX Montgomery S19540,TX Montgomery 6900 Lake Woodlands Dr,14,,,,,,0.448451978,3,135.8,2652735.74,8/1/13,35997624,Newmark Knight Frank
19540,S19541,TX Harris 1328730030001,TX Harris 24929 Katy Ranch Rd,6,,6.1,3847740,13878504,2013,0.51210061,4,106.88,2384186.93,12/19/13,35100000,
19541,S19542,TX Harris 1328730030001,TX Harris 24929 Katy Ranch Rd,6,,,5130320,33173154,2017,0.51210061,4,106.88,2384186.93,12/12/18,35100000,Newmark Knight Frank
19542,S19543,TX Harris S19543,TX Harris 2539 Spring Cypress Rd,3,,,,,,0.36493389,3,123.55,1963970.35,12/19/17,34972420,Cushman & Wakefield Multifamily Advisory Group
19543,S19544,TX Harris 1318840010001,TX Harris 19401 Tomball Pky,11,,,3682758,28637993,2017,0.525191483,3,133.81,3061152.48,6/19/18,34700000,Newmark Knight Frank
19544,S19545,TX Harris 1318830010001,TX Harris 7800 Sam Houston Pky,11,,6.5,3306422,25637371,2015,0.317159303,3,113.14,1563135.31,7/15/16,34600000,Newmark Knight Frank
19545,S19546,TX Tarrant S19546,TX Tarrant 6415 Old Denton Rd,11,,,,,,0.503896082,3,97.26,2134855.82,1/7/16,34454438,JLL
19546,S19547,TX Bexar 17339-001-1310,TX Bexar 5303 Hamilton Wolfe Rd,24,,,3792220,28690000,2017,0.499836243,2,123.22,2682888.17,1/5/18,33850000,Newmark Knight Frank
19547,S19548,TX Collin R2071041,TX Collin 4701 Charles Pl,22,,5.6,3199478,23301007,2005,0.491308659,2,94.23,2016731.81,5/18/06,32917500,O'Boyle Properties
19548,S19549,TX Harris 1154000000001,TX Harris 1414 Dairy Ashford St,27,,,3691232,23402590,2017,0.4783747,3,147.7,3077678.34,9/11/18,32600000,Newmark Knight Frank
19549,S19550,TX Dallas 268261000000,TX Dallas 390 Oakenwald St,7,,,908180,14958180,2012,1.874111234,5,139.21,11364433.53,11/5/14,32400000,
19550,S19551,TX Hays R132408,TX Hays 4925 Cromwell Dr,9,,,1615070,24700000,2018,0.442616252,3,135.55,2613480.06,10/23/18,32300000,CBRE
19551,S19552,TX Tarrant 40024687,TX Tarrant 3251 Matlock Rd,17,,5.52,1883534,26174518,2015,0.270909896,2,125.42,1480111.01,2/28/17,32000000,
19552,S19553,TX Williamson S19553,TX Williamson 670 Louis Henna Blvd,18,,,,,,0.514428778,2,113.98,2554123.08,12/1/15,31500000,CBRE
19553,S19554,TX Denton R183535,TX Denton 3840 Frankford Rd,22,,5.65,2314866,18324385,2017,0.49395039,3,159.78,3437958.68,7/18/18,30450000,
19554,S19555,TX Travis 797468,TX Travis 305 Yager Ln,11,,,2527700,25800000,2014,0.36621809,3,129.63,2067967.19,12/22/14,30000000,
19555,S19556,TX Brazos 306608,TX Brazos 21 Gramercy Park Dr,8,,,1918270,19967168,2016,0.672475329,3,85.47,2503546.69,4/20/17,30000000,Newmark Knight Frank
