,SCAPN,SCSitus_NumNam,PropID,Star_rating,City,State,Zip,County,For_sale_price,For_sale_status,Land_area,Num_units,Cap_rate,Vacancy_%,Avg_unit_sqft,Avg_Concession_%,Parking_per_unit,Days_on_mkt,Amenities,Year_built,Year_reno,Last_sale_date,Last_sale_price,Transit_dist_mile,Transit_walk_time_min,Const_material,Num_studio,Studio_rent_sqft,Studio_avg_sqft,Studio_concession_%,Studio_vacancy_%,Num_1_bed,1_bed_rent_sqft,1_bed_avg_sqft,1_bed_concession_%,1_bed_vacancy_%,Num_2_bed,2_bed_rent_sqft,2_bed_avg_sqft,2_bed_concession_%,2_bed_vacancy_%,Num_3_bed,3_bed_rent_sqft,3_bed_avg_sqft,3_bed_concession_%,3_bed_vacancy_%,Num_4_bed,4_bed_rent_sqft,4_bed_avg_sqft,4_bed_concession_%,4_bed_vacancy_%,2010_Avg_age,2019_Avg_age,2019_Pop_25_39,2024_Avg_age,2024_Pop_25_39
556,NC Wake 1707.11-65-2856-000,NC Wake7303 Bryn Athyn Way,P8699,3,Raleigh,NC,276156104,Wake,,N,17.26,172,,6.98,815.0,0.8,1.6280000000000001,,"Fitness Center, Pool, Property Manager on Site, Wi-Fi",1985.0,,,,12.83,,Wood Frame,,,,,,86.0,1.41,690.0,0.8,7.0,86.0,1.3,940.0,0.8,7.0,,,,,,,,,,,36.9,38.4,3381.0,39.5,3066.0
557,NC Buncombe 9639-86-9068-00000,NC Buncombe600 Bulldog Dr,P8700,4,Asheville,NC,28801    ,Buncombe,,N,8.4265,154,,,1169.0,0.0,2.903,,"Breakfast/Coffee Concierge, Furnished Units Available, Gameroom, Grill",2005.0,,03/02/16,,15.46,,Masonry,,,,,,,,,,,24.0,1.41,1000.0,0.0,0.0,130.0,1.64,1200.0,0.0,0.0,,,,,,32.8,33.8,2641.0,34.5,2304.0
558,NC Mecklenburg 123-021-02,NC Mecklenburg1225 Caldwell St,P8701,3,Charlotte,NC,282034556,Mecklenburg,,N,14.53,170,,5.29,535.0,0.6,0.0,,,1970.0,2016.0,10/30/18,,0.49,10.0,Steel,150.0,1.55,500.0,0.6,5.3,20.0,1.04,800.0,0.6,5.0,,,,,,,,,,,,,,,,35.4,36.4,6786.0,37.8,5784.0
559,NC Wake 0741.11-56-7372-000,NC Wake10000 Cambridge Village Loop,P8702,4,Apex,NC,275027707,Wake,,N,14.6,165,,0.61,470.0,0.3,0.988,,"Fitness Center, Storage Space",2011.0,,05/02/16,"6,500,000",18.35,,Masonry,165.0,6.15,469.0,0.3,0.6,,,,0.0,,,,,0.0,,,,,,,,,,,,34.5,35.8,1584.0,37.0,1583.0
560,NC Durham 173353,NC Durham2610 Camellia Dr,P8703,3,Durham,NC,27705,Durham,,N,8.59,136,,2.94,831.0,0.5,1.868,,"Laundry Facilities, Property Manager on Site, Package Service, Storage Space, Maintenance on site, Sundeck",1983.0,,,,19.26,,Wood Frame,,,,,,48.0,1.23,630.0,0.5,2.1,88.0,0.86,940.0,0.5,3.4,,,,,,,,,,,35.6,38.5,1955.0,39.2,1893.0
561,NC Durham P8704,NC Durham1368 Campus Dr,P8704,2,Durham,NC,277089962,Durham,,N,,183,,4.92,400.0,0.0,,,,,,,,15.89,,,,,,,,183.0,,400.0,,4.9,,,,,,,,,,,,,,,,30.2,32.0,6453.0,33.2,5994.0
562,NC Wake 1727.12-86-9246-000,NC Wake7434 Capital Blvd,P8705,2,Raleigh,NC,27616,Wake,,N,36.0036,166,,4.82,,0.0,1.9280000000000002,,,1972.0,,12/09/11,"4,800,000",17.86,,Wood Frame,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,33.6,3376.0,35.2,3376.0
563,NC Lenoir 451610454482,NC Lenoir 3219-3234 Carey Rd,P8706,3,Kinston,NC,285041234,Lenoir,,N,15.8,187,,2.67,1063.0,0.4,,,"Clubhouse, Laundry Facilities, Picnic Area, Playground, Pool, Property Manager on Site, Package Service, Maintenance on site, Sundeck",1971.0,,01/26/12,"5,500,000",35.79,,,6.0,1.52,360.0,1.0,16.7,34.0,0.75,700.0,0.4,2.9,119.0,0.59,1123.0,0.4,2.5,26.0,0.56,1388.0,0.4,0.0,2.0,0.57,1515.0,0.4,0.0,45.9,47.0,504.0,47.4,486.0
564,NC New Hanover R07600-006-056-000,NC New Hanover5140 Carolina Beach Rd,P8707,2,Wilmington,NC,28412,New Hanover,,N,27.59,150,,4.0,,0.0,2.0,,,,,,,14.9,,Metal,,,,,,,,,,,,,,,,,,,,,,,,,,35.2,37.2,1585.0,38.0,1683.0
565,NC Onslow 338-18.46,NC Onslow334 Carolina Forest Blvd,P8708,4,Jacksonville,NC,285468041,Onslow,,N,15.65,180,,,1087.0,0.3,,,"Clubhouse, Fitness Center, Playground, Property Manager on Site, Furnished Units Available, Package Service, Volleyball Court, Storage Space, Maintenance on site, Sundeck",2011.0,,05/02/19,"16,500,000",21.14,,,,,,,,24.0,1.29,790.0,0.3,0.0,108.0,0.9,1069.0,0.3,0.0,48.0,0.87,1276.0,0.3,0.0,,,,,,28.5,28.2,1078.0,29.5,1230.0
566,NC Guilford 0019929,NC Guilford809 Carrieland Dr,P8709,2,Greensboro,NC,274056005,Guilford,,N,11.58,152,,5.26,,0.6,1.237,,,1972.0,,,,13.56,,Wood Frame,,,,,,,,,,,152.0,,,0.6,5.3,,,,0.0,,,,,,,35.6,37.4,2225.0,38.2,2432.0
567,NC Wake 0762.07-67-8611,NC Wake750 Cary Pky,P8710,4,Cary,NC,27511,Wake,,N,17.53,151,,5.96,958.0,0.7,1.013,,"Clubhouse, Courtyard, Property Manager on Site, Tanning Salon, Breakfast/Coffee Concierge, Cabana, Gameroom, Maid Service, Planned Social Activities, Putting Greens, Walking/Biking Trails",2009.0,,,,13.75,,Wood Frame,,,,,,60.0,6.88,758.0,0.7,6.7,91.0,4.79,1090.0,0.7,5.5,,,,,,,,,,,44.1,44.7,1239.0,45.0,1422.0
568,NC New Hanover R05312-002-004-000,NC New Hanover15 Castle St,P8711,2,Wilmington,NC,28401    ,New Hanover,,N,1.78,151,,4.64,475.0,0.6,0.53,,"Laundry Facilities, Picnic Area",1971.0,,,,7.13,,Masonry,110.0,1.27,437.0,0.7,5.5,40.0,1.14,570.0,0.4,2.5,1.0,0.85,865.0,0.7,0.0,,,,,,,,,,,37.4,39.2,1463.0,39.8,1584.0
569,NC Wake 0794.19-50-7874-000,NC Wake2720 Cates Ave,P8712,3,Raleigh,NC,27607,Wake,,N,508.06,188,,4.79,550.0,0.0,,,"24 Hour Access, Laundry Facilities, Wi-Fi, Lounge, Walk To Campus",1896.0,,,,11.71,,,188.0,,550.0,,4.8,,,,,,,,,,,,,,,,,,,,,25.5,28.2,8564.0,29.9,8260.0
570,NC Wake 0794.19-50-7874-000,NC Wake2800 Cates Ave,P8713,3,Raleigh,NC,27607,Wake,,N,508.06,179,,5.03,550.0,0.0,,,"24 Hour Access, Laundry Facilities, Wi-Fi, Lounge, Walk To Campus",1896.0,,,,11.66,,,179.0,,550.0,,5.0,,,,,,,,,,,,,,,,,,,,,25.6,28.3,8589.0,30.0,8290.0
571,NC Catawba 3714052840200000,NC Catawba4000 Center St,P8714,3,Hickory,NC,28601,Catawba,,N,12.17,189,,2.12,909.0,0.4,,,"Clubhouse, Fitness Center, Laundry Facilities, Property Manager on Site, Tennis Court, Furnished Units Available, Package Service, Maintenance on site, Online Services, Sundeck",1997.0,,,,,,,,,,,,78.0,1.18,705.0,0.4,2.6,99.0,1.0,1035.0,0.4,2.0,12.0,1.04,1201.0,0.4,0.0,,,,,,40.7,42.2,491.0,42.9,538.0
572,NC Wayne 2572875463,NC Wayne 100-120Center St,P8715,3,Goldsboro,NC,27530,Wayne,,N,1.0,175,,7.43,,0.0,0.377,,,1924.0,,,,,,Masonry,,,,,,,,,,,,,,,,,,,,,,,,,,36.9,40.6,770.0,41.6,773.0
573,NC Mecklenburg 095-123-30,NC Mecklenburg3143 Central Ave,P8716,3,Charlotte,NC,282055413,Mecklenburg,,N,7.5549,155,,68.39,938.0,1.0,1.419,,"24 Hour Access, Clubhouse, Fitness Center, Laundry Facilities, Property Manager on Site, Laundry Service",1971.0,2019.0,01/03/19,"15,400,000",10.97,,Wood Frame,1.0,1.79,560.0,1.0,100.0,54.0,1.31,693.0,1.0,68.5,100.0,1.14,1074.0,1.0,68.0,,,,,,,,,,,32.5,34.3,3857.0,35.9,3430.0
574,NC Pitt 35047,NC Pitt1526 Charles Blvd,P8717,2,Greenville,NC,27858,Pitt,,N,29.43,144,,10.42,531.0,22.6,0.006999999999999999,,"Business Center, Clubhouse, Fitness Center, Property Manager on Site, Tennis Court, Gated, Tanning Salon, Basketball Court, Furnished Units Available, Gameroom, Grill, Planned Social Activities, Volleyball Court",1995.0,,11/15/16,"9,585,000",6.46,,Wood Frame,,,,,,,,,,,,,,,,48.0,3.45,465.0,22.6,10.4,96.0,3.49,565.0,22.6,10.4,26.8,28.8,4986.0,29.6,6425.0
575,NC Forsyth 6825-99-2357,NC Forsyth800 Chatham Rd,P8718,4,Winston-Salem,NC,271011204,Forsyth,,N,6.287000000000001,170,,22.94,1042.0,0.0,1.176,,"Courtyard, Fitness Center, Roof Terrace, Lounge, Multi Use Room",2016.0,,,,24.85,,Masonry,,,,,,64.0,1.07,872.0,0.0,23.4,95.0,1.05,1113.0,0.0,23.2,11.0,1.05,1411.0,0.0,18.2,,,,,,37.9,38.8,3030.0,40.0,2808.0
576,NC Guilford 0176191,NC Guilford2120 Chester Ridge Dr,P8719,3,High Point,NC,27262,Guilford,,N,13.61,172,,3.49,949.0,0.5,0.006,,"Business Center, Clubhouse, Fitness Center, Laundry Facilities, Picnic Area, Playground, Tennis Court, Recycling, Wi-Fi",1980.0,2000.0,01/06/15,"8,885,500",14.36,,Wood Frame,,,,,,56.0,1.06,742.0,0.5,3.6,96.0,0.84,1005.0,0.5,3.1,20.0,0.89,1256.0,0.5,5.0,,,,,,37.0,38.0,2067.0,38.5,2080.0
577,NC Wake 1707.15-52-3768-000,NC Wake6801 Chesterbrook Ct,P8720,4,Raleigh,NC,276156165,Wake,,N,11.67,168,,4.76,971.0,0.0,1.786,,"24 Hour Access, Business Center, Clubhouse, Fitness Center, Picnic Area, Property Manager on Site, Tennis Court, Basketball Court, Car Wash Area, Grill, Planned Social Activities, Recycling, Volleyball Court, Walking/Biking Trails, Wi-Fi, Maintenance on site",1994.0,,,,12.98,,Wood Frame,,,,,,96.0,1.06,881.0,0.0,5.2,72.0,1.05,1091.0,0.0,4.2,,,,,,,,,,,36.0,37.2,4182.0,38.3,3750.0
578,NC Cabarrus 5614-50-4682-0000,NC Cabarrus 100-166 Chestnut Ave,P8721,3,Kannapolis,NC,28081,Cabarrus,,N,,150,,,670.0,0.0,,,,2020.0,,,,33.69,,,,,,,,150.0,,670.0,,,,,,,,,,,,,,,,,,36.9,37.2,1519.0,38.2,1491.0
579,NC Guilford 0028174,NC Guilford 2312-2314Church St,P8722,2,Greensboro,NC,274054310,Guilford,,N,7.59,156,,5.13,433.0,0.0,0.385,,Elevator,1970.0,,,,12.06,,Reinforced Concrete,,,,,,156.0,,433.0,,5.1,,,,,,,,,,,,,,,,39.9,40.4,1698.0,40.7,1826.0
580,NC Guilford 0028174,NC Guilford2314 Church St,P8723,3,Greensboro,NC,274054396,Guilford,,N,7.59,156,,5.13,433.0,0.0,0.6409999999999999,,Laundry Facilities,1970.0,,,,12.05,,Steel,,,,,,156.0,,433.0,,5.1,,,,,,,,,,,,,,,,39.9,40.4,1704.0,40.6,1832.0
581,NC Orange 9863886264,NC Orange600 Churton St,P8724,2,Hillsborough,NC,27278,Orange,,N,23.0,166,,1.81,1082.0,0.5,1.8980000000000001,,"Business Center, Fitness Center, Laundry Facilities, Picnic Area, Playground, Property Manager on Site, Waterfront, Gameroom, Grill, Planned Social Activities, Recycling",1974.0,,10/23/08,"12,000",26.57,,Wood Frame,,,,,,22.0,1.23,751.0,4.5,0.0,100.0,1.07,1038.0,0.0,2.0,44.0,0.97,1346.0,0.0,2.3,,,,,,35.0,38.2,498.0,39.2,636.0
582,NC Mecklenburg 089-044-08,NC Mecklenburg4333 Cinderella Rd,P8725,2,Charlotte,NC,282136664,Mecklenburg,,N,4.78,144,,,779.0,0.3,1.146,,,1969.0,,06/18/18,,11.75,,Masonry,,,,,,45.0,0.98,643.0,0.3,0.0,99.0,0.89,841.0,0.2,0.0,,,,,,,,,,,33.5,35.3,2522.0,36.5,2523.0
583,NC Cumberland 0407-75-5969,NC Cumberland775 Cl Tart Cir,P8726,4,Fayetteville,NC,283143112,Cumberland,,N,9.88,182,,9.34,1100.0,9.1,,,"Clubhouse, Fitness Center, Playground, Property Manager on Site, Energy Star Labeled, Grill, Media Center/Movie Theatre, Planned Social Activities, Volleyball Court, Wi-Fi",2013.0,,,,8.43,,,,,,,,42.0,1.01,829.0,12.0,9.5,112.0,0.84,1146.0,10.4,8.9,28.0,0.81,1322.0,0.9,10.7,,,,,,33.2,34.1,2062.0,35.0,1925.0
584,NC Cumberland 0512-15-4101,NC Cumberland859 Cliffs Cir,P8727,4,Spring Lake,NC,283903387,Cumberland,12167000.0,N,0.93,144,,1.39,1213.0,1.6,2.153,260.0,"Business Center, Clubhouse, Fitness Center, Laundry Facilities, Picnic Area, Playground, Furnished Units Available, Grill, Pet Play Area, Wi-Fi",2010.0,,,,17.87,,Wood Frame,,,,,,,,,,,78.0,0.86,1104.0,0.4,1.3,66.0,0.78,1342.0,3.0,1.5,,,,,,31.2,32.2,515.0,33.4,477.0
585,NC Guilford 0033276,NC Guilford3610 Clifton Rd,P8728,4,Greensboro,NC,274072381,Guilford,,N,13.16,164,,1.22,1181.0,0.4,,,"Business Center, Clubhouse, Fitness Center, Basketball Court, Furnished Units Available, Gameroom, Media Center/Movie Theatre, Volleyball Court",2009.0,,04/08/19,"23,150,000",11.38,,Wood Frame,,,,,,,,,,,48.0,1.68,766.0,0.4,2.1,,,,,,116.0,1.65,1353.0,0.3,0.9,32.8,33.9,2733.0,34.8,2506.0
586,NC Guilford 0033275,NC Guilford3643 Clifton Rd,P8729,3,Greensboro,NC,27407,Guilford,,N,8.93,176,,26.14,1672.0,3.3,3.409,,"Clubhouse, Courtyard, Fitness Center, Basketball Court, Breakfast/Coffee Concierge, Furnished Units Available, Grill, Volleyball Court, Wi-Fi, Private Bathroom",2010.0,,12/15/16,"27,500,000",11.24,,Wood Frame,,,,,,,,,,,40.0,1.01,1380.0,1.0,27.5,24.0,1.28,1467.0,3.8,25.0,112.0,1.29,1821.0,3.8,25.9,32.9,34.0,2529.0,35.0,2318.0
587,NC Buncombe 9730-87-1914-00000,NC Buncombe41 Cobblers Way,P8730,3,Woodfin,NC,28804,Buncombe,,N,6.89,164,,9.15,766.0,1.0,,,,2016.0,,,,18.07,,,24.0,8.05,471.0,1.0,8.3,95.0,5.74,689.0,0.9,9.5,45.0,4.7,1085.0,0.9,8.9,,,,,,,,,,,43.5,44.5,758.0,44.6,737.0
588,NC Onslow 346F-51,NC Onslow200 Coleman Dr,P8731,2,Jacksonville,NC,285466830,Onslow,,N,8.73,152,,,1007.0,0.3,,,"Laundry Facilities, Playground, Basketball Court",1972.0,2007.0,,,18.95,,,,,,,,30.0,0.5,750.0,0.3,0.0,30.0,0.53,900.0,0.3,0.0,46.0,0.4,1050.0,0.3,0.0,46.0,0.37,1200.0,0.3,0.0,34.2,33.0,971.0,33.5,1210.0
589,NC Forsyth 6818-82-5958,NC Forsyth1489 Colony Lodge St,P8732,4,Winston-Salem,NC,27106,Forsyth,,N,,164,,12.8,521.0,2.2,,,"Clubhouse, Fitness Center, Laundry Facilities, Playground",2019.0,,,,30.47,,,,,,,,96.0,,,2.2,12.5,30.0,0.58,1047.0,2.2,13.3,38.0,0.49,1420.0,2.2,13.2,,,,,,34.7,34.5,1871.0,35.2,1813.0
590,NC Cabarrus 5509-54-4854-0000,NC Cabarrus1100 Coopers Ridge Dr,P8733,4,Kannapolis,NC,28083,Cabarrus,,N,19.9388,153,,1.31,718.0,0.3,2.1830000000000003,,"Clubhouse, Fitness Center, Laundry Facilities, Playground, Property Manager on Site, Basketball Court, Furnished Units Available, Package Service, Storage Space, Maintenance on site, Sundeck",2001.0,,08/01/17,"8,000,000",31.02,,Wood Frame,,,,,,57.0,1.38,473.0,0.3,1.8,72.0,0.92,864.0,0.3,1.4,24.0,1.01,864.0,0.4,0.0,,,,,,38.0,37.1,1150.0,37.8,1109.0
591,NC Craven 8-211-034,NC Craven4016 Copperfield Dr,P8734,3,New Bern,NC,285628377,Craven,,N,6.48,149,,,620.0,0.3,1.7109999999999999,,Property Manager on Site,1993.0,,04/26/17,"6,764,500",8.71,,Wood Frame,,,,,,143.0,1.11,604.0,0.3,0.0,,,,0.0,,6.0,0.9,1000.0,0.8,0.0,,,,,,45.0,47.1,419.0,47.1,504.0
592,NC Durham 133830,NC Durham1701 Cornwallis Rd,P8735,3,Durham,NC,277131414,Durham,,N,21.38,184,,3.8,1120.0,0.5,2.174,,"Business Center, Clubhouse, Fitness Center, Laundry Facilities, Picnic Area, Playground, Property Manager on Site, Grill, Laundry Service, Pet Play Area",1980.0,,03/01/16,"13,500,000",10.92,,Wood Frame,,,,,,,,,,,168.0,0.8,1103.0,0.5,3.6,16.0,0.89,1300.0,0.5,6.3,,,,,,33.3,35.8,2942.0,36.7,2800.0
593,NC Pitt 40783,NC Pitt635 Cotanche St,P8736,2,Greenville,NC,278582312,Pitt,,N,,154,,,467.0,0.2,,,"Controlled Access, Clubhouse, Courtyard, Laundry Facilities, Gated, Furnished Units Available, Grill, Laundry Service, Bicycle Storage, Lounge",1984.0,,05/05/14,"10,954,000",5.81,,,85.0,2.24,342.0,0.2,0.0,44.0,1.61,560.0,0.3,0.0,25.0,1.83,726.0,0.3,0.0,,,,,,,,,,,27.0,29.3,5734.0,30.2,7155.0
594,NC Guilford 0081187,NC Guilford3800 Cotswold Ave,P8737,3,Greensboro,NC,27410,Guilford,,N,14.2913,156,,4.49,1096.0,0.9,1.2819999999999998,,"Business Center, Clubhouse, Courtyard, Fitness Center, Laundry Facilities, Picnic Area, Playground, Breakfast/Coffee Concierge, Car Wash Area, Grill, Package Service",1995.0,,05/15/17,"13,608,000",7.61,,Masonry,,,,,,36.0,1.28,613.0,2.1,5.6,95.0,0.87,1147.0,0.6,4.2,25.0,0.91,1619.0,0.6,4.0,,,,,,38.0,38.2,1628.0,38.7,1367.0
595,NC Onslow 351A-28,NC Onslow2100 Country Club Rd,P8738,2,Jacksonville,NC,28546    ,Onslow,,N,9.72,152,,1.32,985.0,0.4,,,"Fitness Center, Laundry Facilities, Playground, Tennis Court, Online Services",1983.0,1999.0,,,19.43,,,,,,,,,,,,,152.0,0.73,985.0,0.4,1.3,,,,,,,,,,,32.5,32.4,1186.0,33.4,1417.0
596,NC Forsyth 6805-41-4746,NC Forsyth4755 Country Club Rd,P8739,3,Winston-Salem,NC,27104,Forsyth,,N,18.91,144,,2.78,849.0,0.5,1.528,,"Business Center, Clubhouse, Fitness Center, Laundry Facilities, Picnic Area, Tennis Court, Breakfast/Coffee Concierge, Grill, Package Service, Maintenance on site",1987.0,,08/31/16,"10,695,000",30.03,,Wood Frame,,,,,,58.0,1.09,700.0,0.0,3.5,86.0,0.91,950.0,0.0,2.3,,,,,,,,,,,36.2,36.7,2227.0,37.4,2020.0
597,NC Forsyth 5895-74-7439,NC Forsyth5335 Country Club Rd,P8740,3,Winston-Salem,NC,27104    ,Forsyth,,N,13.78,152,,5.26,796.0,0.0,1.8419999999999999,,"Clubhouse, Fitness Center, Laundry Facilities, Trash Pickup - Curbside",1986.0,,07/30/14,"6,850,000",31.61,,Wood Frame,,,,,,76.0,1.03,638.0,0.0,5.3,76.0,0.82,953.0,0.0,5.3,,,,,,,,,,,40.0,41.1,854.0,41.8,878.0
598,NC Forsyth 6828-12-1476,NC Forsyth5460 Countryside Dr,P8741,2,Winston-Salem,NC,27105,Forsyth,,N,8.97,142,,0.7,1003.0,0.3,1.69,,"Clubhouse, Laundry Facilities, Playground, Property Manager on Site, Storage Space, Maintenance on site, Sundeck",1974.0,,,,30.02,,Wood Frame,,,,,,24.0,0.84,715.0,0.3,0.0,74.0,0.74,978.0,0.3,1.4,44.0,0.7,1200.0,0.3,0.0,,,,,,36.0,35.7,1693.0,36.2,1638.0
599,NC Catawba 3732168399230000,NC Catawba1011 County Home Rd,P8742,3,Conover,NC,28613    ,Catawba,,N,11.86,160,,1.88,749.0,0.1,1.25,,"Business Center, Clubhouse, Laundry Facilities, Playground, Property Manager on Site, Spa, Pet Play Area",2000.0,,04/06/17,"10,400,000",,,Wood Frame,,,,,,66.0,1.38,506.0,0.0,3.0,70.0,1.02,864.0,0.0,1.4,24.0,0.98,1080.0,0.4,0.0,,,,,,37.2,38.9,533.0,40.0,527.0
600,NC New Hanover R05505-004-015-000,NC New Hanover315 Covil Ave,P8743,3,Wilmington,NC,28403,New Hanover,,N,6.4905,144,,7.64,915.0,5.6,1.91,,"24 Hour Access, Business Center, Clubhouse, Fitness Center, Picnic Area, Corporate Suites, Tanning Salon, Furnished Units Available, Gameroom, Grill, Media Center/Movie Theatre, Pet Play Area, Volleyball Court",2017.0,,,,6.63,,Wood Frame,24.0,2.34,480.0,1.0,8.3,24.0,1.75,699.0,8.4,8.3,72.0,1.02,1033.0,8.3,6.9,24.0,1.22,1212.0,1.0,8.3,,,,,,32.8,33.5,3327.0,34.2,3467.0
601,NC Wake 0762.19-51-2357-000,NC Wake100 Crescent Arbor Ln,P8744,3,Cary,NC,275189627,Wake,,N,17.47,180,,11.11,958.0,8.5,1.861,,"Business Center, Clubhouse, Courtyard, Fitness Center, Property Manager on Site, Tennis Court, Car Wash Area, Furnished Units Available, Guest Apartment, Package Service, Recycling, Storage Space, Health Club Discount, Maintenance on site, Sundeck",1995.0,,11/27/07,"18,360,000",15.7,,Wood Frame,,,,,,82.0,1.45,792.0,10.1,11.0,98.0,1.28,1096.0,7.4,11.2,,,,,,,,,,,43.7,45.4,747.0,46.1,936.0
602,NC New Hanover R06117-011-019-000,NC New Hanover2545 Croquet Dr,P8745,3,Wilmington,NC,28412,New Hanover,,N,26.22,164,,0.61,1261.0,0.3,2.707,,"Business Center, Clubhouse, Fitness Center, Playground, Pool, Property Manager on Site, Tennis Court, Breakfast/Coffee Concierge, Putting Greens, Walking/Biking Trails",1997.0,,,,11.61,,Wood Frame,,,,,,56.0,1.06,974.0,0.4,1.8,84.0,1.07,1356.0,0.3,0.0,24.0,1.06,1600.0,0.3,0.0,,,,,,45.4,43.6,1501.0,42.7,1779.0
603,NC Guilford 0176189,NC Guilford2122 Crossing Way,P8746,3,High Point,NC,27262,Guilford,,N,12.99,156,,5.77,845.0,0.0,1.923,,"Business Center, Clubhouse, Fitness Center, Laundry Facilities, Picnic Area, Playground, Property Manager on Site, Breakfast/Coffee Concierge, Gameroom, Grill, Pet Play Area, Walking/Biking Trails, Wi-Fi",1985.0,,11/25/13,"6,100,000",14.39,,Wood Frame,,,,,,72.0,1.13,687.0,0.0,5.6,84.0,0.89,981.0,0.0,6.0,,,,,,,,,,,37.7,38.7,1922.0,39.3,1958.0
604,NC Alamance 112943,NC Alamance2944 Crouse Ln,P8747,3,Burlington,NC,272158833,Alamance,,N,6.8,160,,4.38,1008.0,0.6,1.9,,"24 Hour Access, Clubhouse, Laundry Facilities, Playground, Property Manager on Site, Walking/Biking Trails, Multi Use Room",2007.0,,,,30.44,,Wood Frame,,,,,,24.0,0.37,750.0,0.6,4.2,80.0,0.35,927.0,0.6,5.0,56.0,0.3,1235.0,0.5,3.6,,,,,,40.5,40.3,700.0,40.6,719.0
605,NC Cabarrus 5610-48-8421-0000,NC Cabarrus100 Crown Point Cir,P8748,3,Concord,NC,280271904,Cabarrus,,N,10.22,152,,0.66,1092.0,0.3,1.8419999999999999,,,2000.0,,08/02/17,"12,778,350",28.51,,Wood Frame,,,,,,28.0,0.91,896.0,0.3,0.0,124.0,0.9,1136.0,0.3,0.8,,,,,,,,,,,37.9,37.6,1466.0,38.4,1470.0
606,NC Forsyth 01863-0303,NC Forsyth875 Crowne Forest Ct,P8749,3,Winston-Salem,NC,271065067,Forsyth,,N,15.72,184,,4.89,1126.0,0.6,2.0,,"Business Center, Clubhouse, Fitness Center, Laundry Facilities, Gated, Wi-Fi",2001.0,,,,29.48,,Wood Frame,,,,,,56.0,1.37,858.0,0.5,3.6,98.0,1.08,1212.0,0.5,4.1,30.0,1.13,1343.0,1.0,10.0,,,,,,32.6,31.7,3549.0,32.1,3372.0
607,NC Forsyth 03444-301A,NC Forsyth900 Crowne Park Dr,P8750,4,Winston-Salem,NC,271066335,Forsyth,,N,19.323,156,,6.41,1140.0,1.4,1.962,,"24 Hour Access, Business Center, Clubhouse, Fitness Center, Laundry Facilities, Gated, Car Wash Area, Grill, Package Service, Pet Play Area, Walking/Biking Trails, Wi-Fi, Online Services",2000.0,,,,29.32,,Wood Frame,,,,,,48.0,1.34,882.0,2.2,6.3,80.0,1.06,1225.0,0.7,6.3,28.0,1.06,1341.0,2.0,7.1,,,,,,38.9,36.1,2610.0,35.9,2335.0
608,NC Cabarrus 5611-96-4130-0000,NC Cabarrus1100 Crystalwood Ct,P8751,3,Concord,NC,28027,Cabarrus,,N,9.126,144,,4.17,609.0,0.6,2.333,,"Clubhouse, Laundry Facilities, Playground, Property Manager on Site, Tennis Court, Basketball Court, Furnished Units Available, Laundry Service, Putting Greens, Racquetball Court",1988.0,,08/31/16,"5,100,000",29.58,,Wood Frame,20.0,1.93,288.0,0.6,5.0,70.0,1.2,512.0,0.6,4.3,30.0,0.91,768.0,0.6,3.3,24.0,1.03,960.0,0.6,4.2,,,,,,33.9,34.5,1536.0,35.7,1412.0
609,NC Wake 0764.14-34-0046-000,NC Wake503 Culpepper Hill Ct,P8752,3,Cary,NC,27513,Wake,,N,20.25,186,,4.84,1223.0,0.0,2.269,,"Picnic Area, Playground, Property Manager on Site, Grill, Pet Play Area, Recycling",2000.0,,04/30/13,"15,900,000",8.25,,Wood Frame,,,,,,,,,,,124.0,1.04,1104.0,0.0,4.8,36.0,0.94,1394.0,0.0,5.6,26.0,0.94,1550.0,0.0,3.9,35.2,36.9,2825.0,38.2,2729.0
610,NC Forsyth 6804-69-9740,NC Forsyth160 Dalewood Dr,P8753,2,Winston-Salem,NC,27104,Forsyth,,N,11.43,137,,4.38,1111.0,0.6,1.766,,"Fitness Center, Tennis Court",1969.0,,06/07/18,"8,768,000",30.3,,Wood Frame,,,,,,22.0,0.88,905.0,0.6,4.6,115.0,0.79,1151.0,0.6,4.4,,,,,,,,,,,35.5,36.1,2195.0,36.9,2005.0
611,NC Cabarrus 5621-83-7375-0000,NC Cabarrus1400 Daley Cir,P8754,3,Concord,NC,28025,Cabarrus,,N,25.8252,152,,4.61,1238.0,0.6,0.0,,"Business Center, Clubhouse, Picnic Area, Playground, Property Manager on Site, Basketball Court, Grill, Volleyball Court",1996.0,,,,31.72,,Masonry,,,,,,,,,,,48.0,0.92,1073.0,0.7,6.3,72.0,0.88,1295.0,0.6,4.2,32.0,0.93,1358.0,0.6,3.1,37.9,37.3,1543.0,38.1,1549.0
612,NC Wake 0794.19-50-7874-000,NC Wake210 Dan Allen Dr,P8755,3,Raleigh,NC,27606,Wake,,N,508.06,190,,5.26,1200.0,0.0,,,"24 Hour Access, Laundry Facilities, Smoke Free, Wi-Fi, Lounge",1896.0,,,,11.55,,,,,,,,,,,,,,,,,,,,,,,190.0,,1200.0,,5.3,25.8,28.3,8790.0,30.0,8490.0
