rate_id,description,description_data,rate,component_id,component_name,trnx_authorization_1,parent_partner_tier,parent_payout_region,contract_type_final,partner_type,start_date,end_date,standard_rate_only,domestic_ultimate_csn,precedence
50023,EIP Vertical-Subscription Renewal-Gold-Taiwan-Emerging-Direct VAR,{},0,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Gold,Taiwan-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50024,EIP Vertical-Subscription Renewal-Reseller-Taiwan-Emerging-Direct VAR,{},0.125,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Reseller,Taiwan-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50025,EIP Vertical-Subscription Renewal-Platinum-Greater China-Emerging-Direct VAR,{},0,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Platinum,Greater China-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50026,EIP Vertical-Subscription Renewal-Gold-Greater China-Emerging-Direct VAR,{},0,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Gold,Greater China-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50027,EIP Vertical-Subscription Renewal-Reseller-Greater China-Emerging-Direct VAR,{},0.125,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Reseller,Greater China-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50028,EIP Vertical-Subscription Renewal-Platinum-Hong Kong-Emerging-Direct VAR,{},0,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Platinum,Hong Kong-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50029,EIP Vertical-Subscription Renewal-Gold-Hong Kong-Emerging-Direct VAR,{},0,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Gold,Hong Kong-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50030,EIP Vertical-Subscription Renewal-Reseller-Hong Kong-Emerging-Direct VAR,{},0.125,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Reseller,Hong Kong-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50031,EIP Vertical-Subscription Renewal-Platinum-Brazil-Emerging-Direct VAR,{},0,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Platinum,Brazil-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50032,EIP Vertical-Subscription Renewal-Gold-Brazil-Emerging-Direct VAR,{},0,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Gold,Brazil-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50033,EIP Vertical-Subscription Renewal-Reseller-Brazil-Emerging-Direct VAR,{},0.09,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Reseller,Brazil-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50034,EIP Vertical-Subscription Renewal-Platinum-Mexico-Emerging-Direct VAR,{},0,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Platinum,Mexico-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50035,EIP Vertical-Subscription Renewal-Gold-Mexico-Emerging-Direct VAR,{},0,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Gold,Mexico-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50036,EIP Vertical-Subscription Renewal-Reseller-Mexico-Emerging-Direct VAR,{},0.09,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Reseller,Mexico-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50037,EIP Vertical-Subscription Renewal-Platinum-MCO-Emerging-Direct VAR,{},0,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Platinum,MCO-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50038,EIP Vertical-Subscription Renewal-Gold-MCO-Emerging-Direct VAR,{},0,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Gold,MCO-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50039,EIP Vertical-Subscription Renewal-Reseller-MCO-Emerging-Direct VAR,{},0.09,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Reseller,MCO-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50040,EIP Vertical-Subscription Renewal-Platinum-EMEA_USD_AFRICA-Emerging-Direct VAR,{},0,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Platinum,EMEA_USD_AFRICA-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50041,EIP Vertical-Subscription Renewal-Gold-EMEA_USD_AFRICA-Emerging-Direct VAR,{},0,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Gold,EMEA_USD_AFRICA-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
